,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.29,0.48,0.27,0.64,0.2
open-data-kit.csv,0.71,0.94,0.25,0.76,0.68
qtractor.csv,0.29,0.7,0.16,0.36,0.15
quarkplayer.csv,0.33,0.34,0.3,0.38,0.1
turbotrader-bos.csv,0.12,0.22,0.09,0.23,0.14
