,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.45,0.88,0.52,0.75,0.5,0.0,0.79,0.74,0.73,0.29,0.73
aztec.csv,0.92,0.08,1.01,0.98,0.45,0.9,0.64,0.91,0.89,0.4,0.69
bl-toolkit.csv,0.06,0.4,0.51,0.74,0.72,0.63,0.77,0.57,0.58,0.45,0.99
clamav.csv,0.55,0.54,0.38,0.03,0.49,0.47,0.82,0.56,0.6,0.45,0.68
fm-classic.csv,1.0,1.0,0.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0
kml.csv,0.53,0.72,0.64,0.72,0.11,0.46,0.77,0.56,0.5,0.72,0.81
lufa-lib.csv,0.74,0.66,0.64,0.5,0.51,0.79,0.02,0.68,0.6,0.43,0.73
mplayer-ce.csv,0.85,0.9,0.75,0.89,0.91,0.69,0.78,0.93,0.75,0.61,0.04
qmmp.csv,0.59,0.57,0.82,0.59,0.51,0.67,0.56,0.02,0.55,0.71,0.88
xapian.csv,0.67,0.85,0.26,0.97,0.55,0.66,0.63,0.72,0.08,0.84,0.61
xtreemfs.csv,0.72,0.84,0.49,0.65,0.5,0.59,0.75,0.91,0.66,0.03,0.7
