,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.83,0.3,0.07,0.62,0.69,1.0,0.41,0.68,0.54,0.98,0.58
aztec.csv,0.67,1.0,0.02,0.34,0.67,0.5,0.66,0.67,0.27,0.93,0.47
bl-toolkit.csv,1.0,0.19,0.08,0.38,0.5,0.6,0.4,0.72,0.38,0.91,0.45
clamav.csv,0.83,0.12,0.14,0.95,0.63,0.72,0.51,0.65,0.29,0.91,0.47
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kml.csv,0.79,0.08,0.05,0.5,1.0,0.7,0.38,0.76,0.47,0.84,0.46
lufa-lib.csv,0.68,0.08,0.05,0.5,0.61,0.51,1.0,0.61,0.33,0.92,0.44
mplayer-ce.csv,0.68,0.05,0.06,0.32,0.41,0.59,0.37,0.45,0.23,0.87,0.99
qmmp.csv,0.77,0.11,0.05,0.48,0.61,0.6,0.54,1.0,0.31,0.88,0.46
xapian.csv,0.85,0.08,0.14,0.12,0.74,0.65,0.53,0.66,1.0,0.8,0.55
xtreemfs.csv,0.69,0.06,0.08,0.78,0.95,0.71,0.45,0.75,0.5,0.99,0.53
