,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.68,0.15,0.65,0.29,0.59,1.0,0.3,0.31,0.31,0.75,0.33
aztec.csv,0.1,0.93,0.31,0.13,0.67,0.12,0.43,0.12,0.15,0.74,0.54
bl-toolkit.csv,0.95,0.69,0.83,0.58,0.58,0.6,0.53,0.5,0.5,0.75,0.05
clamav.csv,0.54,0.62,0.7,0.99,0.66,0.65,0.23,0.55,0.58,0.77,0.55
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
kml.csv,0.62,0.41,0.61,0.34,0.91,0.72,0.39,0.51,0.58,0.44,0.52
lufa-lib.csv,0.41,0.54,0.61,0.65,0.67,0.5,0.98,0.41,0.5,0.76,0.49
mplayer-ce.csv,0.47,0.4,0.62,0.43,0.41,0.63,0.43,0.34,0.57,0.6,0.97
qmmp.csv,0.56,0.59,0.52,0.53,0.72,0.63,0.59,0.98,0.63,0.66,0.41
xapian.csv,0.39,0.2,0.93,0.06,0.52,0.43,0.48,0.34,0.93,0.23,0.52
xtreemfs.csv,0.48,0.47,0.67,0.4,0.55,0.49,0.34,0.12,0.4,0.99,0.39
