,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.92,0.8,0.0,0.5,0.5,0.92,0.94,0.0,0.0,0.0,0.0,0.8,0.75,0.0,0.5,0.0,0.86,0.0,0.67,0.89
etherboot.csv,0.97,0.89,0.98,0.9,0.82,0.89,0.98,0.95,0.85,0.91,0.8,0.94,0.88,0.92,0.89,0.79,0.98,0.68,0.82,0.98
gebr.csv,0.38,0.42,0.42,0.43,0.39,0.41,0.43,0.43,0.4,0.32,0.38,0.35,0.47,0.45,0.39,0.33,0.41,0.39,0.38,0.33
gpac.csv,0.69,0.62,0.66,0.77,0.81,0.85,0.8,0.77,0.83,0.5,0.74,0.98,0.78,0.94,0.7,0.68,0.62,0.75,0.58,0.6
gstreamer.csv,0.43,0.59,0.44,0.59,0.44,0.55,0.48,0.43,0.51,0.37,0.43,0.37,0.61,0.56,0.48,0.43,0.44,0.5,0.45,0.37
kml.csv,0.6,0.79,0.47,0.55,0.5,0.5,0.59,0.49,0.91,0.43,0.55,0.67,0.5,0.67,0.57,0.46,0.45,0.62,0.52,0.4
ktc.csv,0.5,0.86,0.62,0.62,0.74,0.76,0.67,0.63,0.71,0.89,0.86,0.98,0.78,0.6,0.71,0.83,0.7,0.64,0.82,0.51
mbse.csv,0.73,0.76,0.75,0.84,0.68,0.79,0.8,0.78,0.79,0.54,0.67,0.8,0.74,0.78,0.76,0.77,0.63,0.54,0.8,0.56
miranda.csv,0.49,0.64,0.58,0.8,0.56,0.63,0.7,0.82,0.75,0.49,0.64,0.64,0.47,0.83,0.61,0.63,0.42,0.78,0.55,0.41
neoengine.csv,0.52,0.51,0.59,0.64,0.68,0.46,0.58,0.5,0.71,0.38,0.7,0.39,0.57,0.76,0.64,0.4,0.47,0.91,0.41,0.46
nicepress.csv,0.74,0.61,0.53,0.59,0.6,0.75,0.54,0.58,0.75,0.43,0.8,0.4,0.5,0.82,0.65,0.49,0.54,0.58,0.48,0.41
omseek.csv,0.98,0.72,0.91,0.88,0.97,0.79,0.96,0.65,0.0,0.55,0.73,0.51,0.75,0.75,0.97,0.59,0.98,0.5,0.98,0.98
pcsx2.csv,0.55,0.51,0.52,0.66,0.61,0.47,0.57,0.89,0.71,0.33,0.56,0.38,0.46,0.73,0.56,0.43,0.48,0.93,0.55,0.36
plplot.csv,0.48,0.44,0.51,0.57,0.63,0.46,0.6,0.43,0.62,0.33,0.55,0.38,0.64,0.71,0.6,0.51,0.46,0.75,0.51,0.4
rosegarden.csv,0.54,0.79,0.57,0.73,0.59,0.71,0.66,0.63,0.67,0.61,0.62,0.85,0.61,0.61,0.65,0.52,0.53,0.49,0.5,0.41
smarttag.csv,0.7,0.0,0.62,0.88,0.94,0.67,0.69,0.53,0.74,0.9,0.79,0.91,0.83,0.88,0.6,0.83,0.97,0.73,0.83,0.98
vapor.csv,0.96,0.0,0.63,0.72,0.79,0.83,0.69,0.9,0.93,0.8,0.41,0.86,0.76,0.8,0.9,0.88,0.93,0.93,0.93,0.98
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0
zorannt.csv,0.37,0.6,0.46,0.95,0.42,0.39,0.78,0.47,0.75,0.39,0.47,0.41,0.7,0.6,0.46,0.47,0.59,0.38,0.55,0.79
zscreen.csv,0.44,0.42,0.47,0.56,0.4,0.48,0.5,0.45,0.71,0.32,0.64,0.36,0.5,0.64,0.58,0.34,0.49,0.51,0.43,0.38
