,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.06,1.0,0.01,0.0,0.0,0.13,0.01,0.0,0.05,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0
etherboot.csv,0.16,0.4,0.14,0.26,0.28,0.11,0.22,0.14,0.91,0.11,0.0,0.08,0.22,0.33,0.39,0.28,0.18,0.5,0.25,0.19
gebr.csv,0.9,0.6,0.96,0.96,0.92,0.83,0.87,0.97,0.86,0.89,0.93,0.95,0.98,0.71,1.0,0.94,0.91,0.62,0.87,0.94
gpac.csv,0.37,0.6,0.45,0.26,0.28,0.35,0.33,0.44,0.23,0.96,0.43,0.23,0.29,0.19,0.42,0.33,0.46,0.12,0.51,0.43
gstreamer.csv,0.71,0.6,0.7,0.65,0.64,0.48,0.68,0.61,0.5,0.64,0.64,0.91,0.48,0.57,0.67,0.69,0.61,0.12,0.99,0.68
kml.csv,0.46,0.0,0.55,0.39,0.52,0.48,0.55,0.64,0.23,0.57,0.43,0.57,0.41,0.19,0.64,0.97,0.55,0.25,0.53,0.54
ktc.csv,0.97,0.0,0.37,0.48,0.2,0.24,0.43,0.47,0.14,0.11,0.36,0.15,0.39,0.62,0.39,0.31,0.35,0.38,0.23,0.38
mbse.csv,0.37,0.6,0.26,0.26,0.48,0.3,0.46,0.42,0.41,0.34,0.29,0.94,0.47,0.52,0.45,0.22,0.4,0.5,0.3,0.46
miranda.csv,0.6,0.2,0.54,0.35,0.44,0.3,0.45,0.19,0.18,0.46,0.36,0.38,0.49,0.14,0.48,0.36,0.61,0.12,0.43,0.98
neoengine.csv,0.59,0.8,0.95,0.52,0.36,0.72,0.66,0.75,0.36,0.84,0.43,0.88,0.79,0.52,0.45,0.83,0.75,0.0,0.94,0.65
nicepress.csv,0.33,0.8,0.47,0.52,0.56,0.09,0.58,1.0,0.09,0.73,0.07,0.88,0.34,0.33,0.52,0.67,0.59,0.12,0.72,0.53
omseek.csv,0.17,0.6,0.06,0.04,0.16,0.24,0.3,0.44,0.0,0.45,0.36,0.75,0.03,0.14,0.91,0.5,0.23,0.0,0.19,0.13
pcsx2.csv,0.51,0.8,0.55,0.43,0.52,0.52,0.61,0.28,0.05,0.98,0.29,0.97,0.55,0.48,0.58,0.78,0.98,0.0,0.62,0.75
plplot.csv,0.63,0.6,0.55,0.48,0.48,0.46,0.6,0.61,0.23,0.86,0.64,0.92,0.29,1.0,0.67,0.69,0.61,0.0,0.48,0.64
rosegarden.csv,0.58,0.0,0.41,0.39,0.4,0.41,0.93,0.56,0.5,0.48,0.29,0.38,0.62,0.67,0.55,0.58,0.58,0.88,0.56,0.68
smarttag.csv,0.27,0.0,0.37,0.26,0.2,0.28,0.39,0.44,0.27,0.07,1.0,0.09,0.06,0.14,0.55,0.17,0.17,0.0,0.03,0.21
vapor.csv,0.24,0.0,0.45,0.26,0.96,0.13,0.42,0.17,0.27,0.05,0.93,0.06,0.26,0.1,0.3,0.14,0.2,0.12,0.07,0.19
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zorannt.csv,0.97,0.6,0.79,0.87,0.96,0.89,0.45,0.83,0.55,0.7,0.71,0.57,0.56,0.76,0.85,0.81,0.65,1.0,0.63,0.33
zscreen.csv,0.78,0.6,0.52,0.61,0.64,1.0,0.76,0.78,0.27,0.96,0.29,0.98,0.35,0.43,0.73,0.89,0.53,0.5,0.77,0.67
