,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.07,1.0,0.01,0.0,0.0,0.16,0.01,0.0,0.06,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0
etherboot.csv,0.19,0.45,0.17,0.3,0.32,0.13,0.26,0.17,0.93,0.13,0.0,0.1,0.26,0.38,0.44,0.32,0.21,0.54,0.29,0.23
gebr.csv,0.66,0.53,0.4,0.66,0.6,0.69,0.67,0.58,0.58,0.37,0.35,0.27,0.98,0.65,0.59,0.58,0.7,0.46,0.63,0.49
gpac.csv,0.41,0.59,0.49,0.3,0.32,0.4,0.37,0.47,0.27,0.97,0.45,0.27,0.33,0.22,0.45,0.37,0.48,0.14,0.52,0.45
gstreamer.csv,0.68,0.62,0.69,0.64,0.64,0.52,0.66,0.62,0.52,0.56,0.59,0.6,0.51,0.58,0.65,0.69,0.6,0.14,0.99,0.62
kml.csv,0.5,0.0,0.58,0.43,0.54,0.53,0.58,0.66,0.27,0.58,0.46,0.57,0.46,0.22,0.66,0.98,0.59,0.29,0.56,0.56
ktc.csv,0.98,0.0,0.42,0.53,0.23,0.28,0.48,0.51,0.17,0.13,0.39,0.18,0.36,0.63,0.44,0.35,0.39,0.42,0.27,0.42
mbse.csv,0.42,0.59,0.3,0.3,0.51,0.34,0.51,0.46,0.44,0.38,0.32,0.95,0.42,0.52,0.49,0.25,0.43,0.53,0.33,0.47
miranda.csv,0.63,0.23,0.55,0.39,0.47,0.34,0.5,0.23,0.21,0.46,0.41,0.41,0.53,0.17,0.52,0.39,0.61,0.14,0.47,0.98
neoengine.csv,0.51,0.05,0.96,0.56,0.37,0.34,0.6,0.45,0.4,0.47,0.45,0.29,0.51,0.49,0.45,0.2,0.58,0.0,0.27,0.59
nicepress.csv,0.37,0.51,0.51,0.56,0.57,0.11,0.6,1.0,0.11,0.55,0.09,0.29,0.39,0.38,0.55,0.61,0.51,0.14,0.32,0.53
omseek.csv,0.2,0.5,0.07,0.05,0.19,0.28,0.34,0.49,0.0,0.41,0.39,0.58,0.04,0.17,0.93,0.45,0.27,0.0,0.22,0.16
pcsx2.csv,0.55,0.05,0.57,0.47,0.53,0.56,0.61,0.32,0.06,0.17,0.33,0.24,0.59,0.53,0.59,0.47,0.98,0.0,0.58,0.64
plplot.csv,0.64,0.56,0.57,0.52,0.49,0.5,0.62,0.63,0.27,0.63,0.65,0.3,0.34,1.0,0.67,0.59,0.62,0.0,0.52,0.63
rosegarden.csv,0.62,0.0,0.45,0.44,0.4,0.43,0.94,0.57,0.52,0.51,0.33,0.43,0.51,0.59,0.57,0.49,0.57,0.66,0.55,0.62
smarttag.csv,0.31,0.0,0.41,0.3,0.24,0.32,0.43,0.48,0.31,0.09,1.0,0.11,0.07,0.17,0.57,0.2,0.2,0.0,0.04,0.25
vapor.csv,0.28,0.0,0.48,0.3,0.97,0.16,0.45,0.2,0.31,0.06,0.13,0.07,0.31,0.12,0.34,0.17,0.24,0.14,0.09,0.22
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zorannt.csv,0.17,0.41,0.52,0.89,0.35,0.45,0.47,0.6,0.55,0.59,0.65,0.57,0.39,0.64,0.5,0.63,0.51,0.36,0.51,0.36
zscreen.csv,0.71,0.53,0.56,0.64,0.58,1.0,0.65,0.59,0.31,0.46,0.32,0.09,0.4,0.47,0.67,0.57,0.56,0.5,0.57,0.61
