,0,1
inkscape.csv,0.0,0.775
wxcrp.csv,0.1835,0.25
m-m-m.csv,0.833,1.0
bacula.csv,0.528,0.705
extprosys.csv,0.278,0.5
lsb.csv,0.083,0.67
fritzing.csv,0.3745,0.635
robocode.csv,0.2915,0.4
capcode.csv,0.0,0.0
openefm.csv,0.25,0.5
etics.csv,0.0835,0.1
novembre.csv,0.125,0.41500000000000004
lmms.csv,0.0,0.83
codeblocks.csv,0.6795,0.765
ontomorphtab.csv,0.5,0.71
x-ray-mule.csv,0.0,0.75
openintents.csv,0.0,0.0
atomsite.csv,0.225,0.45
bloodycore.csv,0.0,0.32499999999999996
checker-framework.csv,0.0715,0.665
arianne.csv,0.5,0.565
dsworkbench.csv,0.732,0.775
gogoego.csv,0.0,0.295
electric-core.csv,0.0,0.33
atlc.csv,0.571,1.0
rosegarden.csv,0.0,0.505
linuxsh.csv,0.155,0.165
theresa.csv,0.0,0.0
jcae.csv,0.0,0.0
dxengine.csv,0.1835,0.5
uwom-server.csv,0.0,0.30000000000000004
ivatamasks.csv,0.5505,0.8
playerstage.csv,0.333,0.595
taverna.csv,0.333,0.5
rtb-team.csv,0.225,0.41500000000000004
projectts.csv,0.6,0.55
autofac.csv,0.333,0.5
nsis.csv,0.95,0.9
knowledge.csv,0.9375,1.0
esmf.csv,0.0,0.235
abbot.csv,1.0,0.775
konversation.csv,0.0,0.375
arsenal-1.csv,0.36650000000000005,0.365
utgb.csv,0.5,0.635
taokgame.csv,0.167,0.0
openmeetings.csv,0.0,0.5
nosleepsoftware.csv,0.1835,0.29000000000000004
jsidplay2.csv,0.6,0.8300000000000001
chipster.csv,0.3095,0.435
badtrinitycore.csv,0.0,0.33
redshell.csv,0.0,0.945
zengine.csv,0.75,1.0
javagroups.csv,0.25,0.365
hazelcast.csv,0.667,1.0
xuggle.csv,0.0,0.26
moviesandbox.csv,0.45,0.62
jrefactory.csv,0.5,0.675
alembik.csv,0.0,0.6
mule.csv,0.481,0.67
aubit4gl.csv,0.0,0.55
sepgsql.csv,0.0,0.14
sblim.csv,0.0,0.265
pentahoanalysistool.csv,0.20850000000000002,0.4
rezilla.csv,0.333,0.33
pcgen.csv,0.0,0.5800000000000001
dvd-create.csv,0.667,0.86
freenet.csv,0.0,0.755
ivef-sdk.csv,0.7,1.0
adonthell.csv,0.5505,0.6
algebsql.csv,0.5,0.67
