,0,1
inkscape.csv,0.0,0.29000000000000004
wxcrp.csv,0.6695,0.33499999999999996
m-m-m.csv,1.0,0.0
bacula.csv,0.5,0.5
extprosys.csv,0.8215,0.25
lsb.csv,0.893,0.11000000000000001
fritzing.csv,0.857,0.315
robocode.csv,0.667,0.335
capcode.csv,0.571,0.29
openefm.csv,0.571,0.17
etics.csv,1.0,0.25
novembre.csv,0.5,0.25
lmms.csv,0.0,0.29
codeblocks.csv,0.75,0.71
ontomorphtab.csv,1.0,0.5
x-ray-mule.csv,0.0,0.5
openintents.csv,0.1665,0.5
atomsite.csv,0.675,0.225
bloodycore.csv,0.0,0.16499999999999998
checker-framework.csv,0.8,0.0
arianne.csv,0.5225,0.4
dsworkbench.csv,1.0,0.75
gogoego.csv,0.0,0.23
electric-core.csv,0.0,0.16499999999999998
atlc.csv,1.0,0.0
rosegarden.csv,0.0,0.21000000000000002
linuxsh.csv,0.9165,0.085
theresa.csv,0.5,0.0
jcae.csv,0.25,0.25
dxengine.csv,0.7335,0.265
uwom-server.csv,0.0,0.31999999999999995
ivatamasks.csv,1.0,0.45
playerstage.csv,0.7085,0.33
taverna.csv,0.7335,0.2
rtb-team.csv,1.0,0.25
projectts.csv,0.667,0.67
autofac.csv,0.875,0.33
nsis.csv,1.0,
knowledge.csv,1.0,
esmf.csv,0.0,0.16
abbot.csv,0.0,0.75
konversation.csv,0.667,0.055
arsenal-1.csv,0.667,0.5
utgb.csv,0.333,0.41500000000000004
taokgame.csv,0.625,0.0
openmeetings.csv,0.615,0.14
nosleepsoftware.csv,0.775,0.2
jsidplay2.csv,1.0,0.5
chipster.csv,0.5,0.42000000000000004
badtrinitycore.csv,0.0,0.14
redshell.csv,0.0,
zengine.csv,1.0,0.0
javagroups.csv,0.646,0.33
hazelcast.csv,1.0,0.0
xuggle.csv,0.0,0.08
moviesandbox.csv,0.667,0.33
jrefactory.csv,0.5835,0.41500000000000004
alembik.csv,0.667,0.165
mule.csv,0.667,0.5
aubit4gl.csv,0.0,0.5
sepgsql.csv,0.0,0.235
sblim.csv,0.75,0.11499999999999999
pentahoanalysistool.csv,0.833,0.25
rezilla.csv,1.0,0.25
pcgen.csv,0.0,0.44
dvd-create.csv,1.0,0.5
freenet.csv,0.0,0.5
ivef-sdk.csv,0.8335,0.0
adonthell.csv,0.9,0.5
algebsql.csv,0.875,0.29000000000000004
