,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.56,0.21,0.33,0.18,0.52,0.26,0.34,0.06,0.35,0.68,0.81,0.14,0.31,0.62,0.17,0.0,0.44,0.09
beast-mcmc.csv,0.76,0.69,0.44,0.69,0.6,0.61,0.65,0.56,0.63,0.63,0.48,0.47,0.27,0.48,0.65,0.65,0.5,0.52
cuberok.csv,0.58,0.64,0.36,0.49,0.42,0.58,0.44,0.74,0.65,0.41,0.49,0.47,0.62,0.47,0.43,0.31,0.47,0.53
exist.csv,0.48,0.0,0.38,0.17,0.69,0.13,0.0,0.38,0.05,0.0,0.2,0.37,0.77,0.3,0.39,0.17,0.48,0.0
ingex.csv,0.63,0.31,0.59,0.48,0.66,0.51,0.61,0.5,0.63,0.38,0.44,0.47,0.48,0.63,0.59,0.65,0.44,0.33
javaprofiler.csv,0.67,0.65,0.5,0.09,0.6,0.6,0.55,0.57,0.61,0.59,0.57,0.13,0.05,0.55,0.56,0.4,0.49,0.79
jbasic.csv,0.61,0.6,0.4,0.57,0.61,0.61,0.59,0.61,0.67,0.74,0.4,0.49,0.3,0.46,0.13,0.62,0.0,0.54
jgnash.csv,0.56,0.59,0.48,0.74,0.62,0.52,0.6,0.53,0.66,0.25,0.32,0.63,0.51,0.56,0.59,0.61,0.37,0.41
jrefactory.csv,0.42,0.49,0.7,0.46,0.4,0.2,0.39,0.53,0.38,0.41,0.48,0.62,0.11,0.48,0.54,0.57,0.28,0.54
jsecurity.csv,0.33,0.62,0.35,0.73,0.24,0.54,0.45,0.35,0.54,0.13,0.19,0.22,0.62,0.48,0.25,0.45,0.32,0.37
libopenmetaverse.csv,0.0,0.05,0.13,0.0,0.21,0.59,0.0,0.4,0.05,0.0,0.58,0.42,0.49,0.05,0.0,0.39,0.0,0.0
mobicents.csv,0.75,0.69,0.52,0.55,0.57,0.39,0.69,0.63,0.66,0.64,0.68,0.51,0.6,0.64,0.55,0.35,0.63,0.5
mp-rechnungs-und-kundenverwaltung.csv,0.51,0.46,0.49,0.57,0.52,0.2,0.54,0.49,0.52,0.52,0.58,0.29,0.16,0.64,0.13,0.63,0.24,0.61
openefm.csv,0.57,0.74,0.35,0.64,0.32,0.46,0.53,0.5,0.59,0.17,0.78,0.22,0.63,0.62,0.62,0.6,0.36,0.43
power-architect.csv,0.47,0.58,0.3,0.68,0.57,0.24,0.43,0.0,0.4,0.41,0.51,0.13,0.24,0.36,0.0,0.38,0.8,0.23
sidekar.csv,0.0,0.34,0.0,0.04,0.81,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
wheat.csv,0.56,0.54,0.27,0.6,0.49,0.47,0.56,0.53,0.56,0.54,0.72,0.35,0.4,0.54,0.71,0.64,0.63,0.35
yarp0.csv,0.41,0.58,0.32,0.62,0.57,0.52,0.47,0.46,0.05,0.36,0.82,0.64,0.56,0.55,0.59,0.63,0.43,0.41
