,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.45,0.28,0.39,0.2,0.58,0.32,0.4,0.08,0.16,0.67,0.75,0.17,0.39,0.48,0.21,0.0,0.54,0.12
beast-mcmc.csv,0.62,0.55,0.6,0.38,0.67,0.62,0.65,0.48,0.28,0.62,0.4,0.39,0.74,0.48,0.67,0.55,0.77,0.62
cuberok.csv,0.45,0.51,0.41,0.27,0.48,0.59,0.44,0.7,0.32,0.44,0.38,0.39,0.67,0.39,0.44,0.27,0.59,0.61
exist.csv,0.46,0.5,0.75,0.32,0.78,0.64,0.67,0.59,0.26,0.63,0.4,0.44,0.79,0.48,0.66,0.53,0.74,0.79
ingex.csv,0.45,0.32,0.64,0.33,0.71,0.51,0.61,0.44,0.28,0.68,0.41,0.38,0.52,0.49,0.62,0.57,0.55,0.41
javaprofiler.csv,0.48,0.53,0.56,0.32,0.67,0.64,0.6,0.49,0.27,0.6,0.48,0.46,0.71,0.42,0.6,0.33,0.63,0.83
jbasic.csv,0.45,0.48,0.44,0.34,0.78,0.62,0.65,0.53,0.3,0.71,0.48,0.36,0.72,0.46,0.17,0.54,0.87,0.61
jgnash.csv,0.4,0.48,0.52,0.43,0.72,0.54,0.6,0.46,0.44,0.3,0.3,0.47,0.57,0.49,0.66,0.52,0.48,0.5
jrefactory.csv,0.29,0.38,0.72,0.26,0.46,0.24,0.41,0.47,0.16,0.42,0.35,0.47,0.16,0.4,0.58,0.49,0.37,0.77
jsecurity.csv,0.35,0.59,0.39,0.52,0.32,0.53,0.49,0.32,0.23,0.19,0.17,0.23,0.66,0.38,0.32,0.47,0.42,0.45
libopenmetaverse.csv,0.41,0.5,0.73,0.32,0.77,0.62,0.67,0.47,0.26,0.66,0.47,0.47,0.52,0.47,0.7,0.53,0.75,0.81
mobicents.csv,0.54,0.55,0.55,0.42,0.66,0.49,0.69,0.58,0.34,0.72,0.53,0.38,0.75,0.5,0.57,0.52,0.8,0.57
mp-rechnungs-und-kundenverwaltung.csv,0.42,0.43,0.55,0.3,0.6,0.27,0.57,0.49,0.36,0.69,0.5,0.36,0.23,0.55,0.19,0.56,0.32,0.69
openefm.csv,0.42,0.62,0.44,0.35,0.41,0.48,0.7,0.43,0.26,0.24,0.66,0.23,0.71,0.49,0.64,0.52,0.47,0.5
power-architect.csv,0.36,0.53,0.72,0.38,0.75,0.65,0.66,0.56,0.24,0.4,0.43,0.46,0.72,0.5,0.7,0.35,0.86,0.72
sidekar.csv,0.0,0.36,0.0,0.05,0.84,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
wheat.csv,0.4,0.43,0.3,0.37,0.56,0.49,0.56,0.49,0.25,0.53,0.54,0.33,0.73,0.41,0.73,0.54,0.74,0.42
yarp0.csv,0.29,0.45,0.37,0.33,0.63,0.55,0.5,0.39,0.06,0.6,0.7,0.56,0.6,0.51,0.61,0.53,0.66,0.53
