,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,0.69,0.03,0.0,0.0,0.42,0.0,0.03,0.04,0.06,0.25,0.04,0.15,0.83,0.0,0.35,0.92,0.15,0.11,0.34,0.8
fbmanager.csv,0.7,0.25,0.51,0.12,0.35,0.13,0.45,0.09,0.13,0.33,0.72,0.09,0.69,0.11,0.49,0.56,0.21,0.54,0.7,0.49
fleet-simulator.csv,0.65,0.09,0.95,0.07,0.4,0.12,0.89,0.06,0.07,0.25,0.87,0.15,0.75,0.33,0.4,0.98,0.12,0.74,0.73,0.84
hannosset.csv,0.22,0.0,0.18,0.07,0.06,0.0,0.41,0.0,0.06,0.43,0.2,0.37,0.26,0.13,0.03,0.5,0.14,0.55,0.3,0.71
hydrate.csv,0.66,0.1,0.79,0.08,0.3,0.14,0.6,0.11,0.26,0.34,0.73,0.16,0.65,0.37,0.47,0.81,0.42,0.61,0.76,0.27
jgossipforum.csv,0.64,0.0,0.15,0.08,0.31,0.12,0.72,0.42,0.12,0.44,0.31,0.0,0.63,0.39,0.4,0.63,0.0,0.4,0.26,0.1
jruby.csv,0.23,0.0,0.41,0.09,0.37,0.06,0.85,0.04,0.07,0.24,0.77,0.35,0.16,0.27,0.31,0.91,0.17,0.76,0.75,0.74
madman.csv,0.47,0.06,0.13,0.05,0.26,0.13,0.34,0.03,0.19,0.59,0.11,0.13,0.34,0.31,0.24,0.35,0.19,0.64,0.22,0.56
mediaportal.csv,0.11,0.0,0.26,0.1,0.16,0.07,0.19,0.0,0.31,0.4,0.4,0.29,0.22,0.41,0.46,0.36,0.22,0.34,0.68,0.51
ninject.csv,0.51,0.08,0.69,0.06,0.37,0.04,0.56,0.03,0.08,0.24,0.44,0.0,0.63,0.29,0.26,0.39,0.59,0.3,0.56,0.57
officefloor.csv,0.29,0.0,0.11,0.12,0.33,0.1,0.44,0.16,0.07,0.27,0.56,0.14,0.33,0.38,0.58,0.58,0.29,0.49,0.49,0.33
ontopia.csv,0.48,0.03,0.84,0.06,0.19,0.11,0.85,0.09,0.08,0.29,0.74,0.1,0.7,0.28,0.26,0.7,0.13,0.27,0.56,0.26
poormans.csv,0.15,0.5,0.48,0.14,0.14,0.0,0.16,0.1,0.32,0.09,0.4,0.0,0.21,0.35,0.62,0.04,0.5,0.3,0.75,0.11
power-architect.csv,0.66,0.04,0.96,0.06,0.34,0.1,0.57,0.03,0.06,0.25,0.87,0.15,0.82,0.31,0.33,0.62,0.2,0.85,0.78,0.72
powerfolder.csv,0.61,0.0,0.29,0.09,0.29,0.11,0.52,0.05,0.48,0.48,0.33,0.12,0.52,0.32,0.36,0.53,0.06,0.79,0.31,0.42
stuproa-cims.csv,0.06,0.2,0.04,0.12,0.6,0.0,0.22,0.07,0.22,0.36,0.36,0.25,0.0,0.35,0.22,0.0,0.15,0.28,0.63,0.78
tart.csv,0.52,0.0,0.47,0.05,0.45,0.29,0.3,0.04,0.0,0.33,0.56,0.05,0.69,0.3,0.38,0.5,0.14,0.36,0.53,0.26
uface.csv,0.68,0.05,0.88,0.06,0.4,0.1,0.69,0.07,0.1,0.31,0.81,0.17,0.83,0.34,0.44,0.68,0.16,0.71,0.81,0.95
wxlua.csv,0.56,0.07,0.92,0.0,0.04,0.14,0.55,0.05,0.34,0.35,0.45,0.15,0.7,0.18,0.24,0.15,0.17,0.34,0.36,0.31
