,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.99,0.8,0.96,0.63,0.94,0.91,0.96,0.75,0.9,0.79,0.5,0.82,0.72
badtrinity-zero.csv,0.98,0.75,0.55,0.9,0.45,0.38,0.48,0.89,0.48,0.44,0.46,0.52,0.54
bibletime.csv,0.8,0.46,0.41,0.47,0.39,0.48,0.4,0.4,0.35,0.39,0.3,0.42,0.43
critterding.csv,0.7,0.66,0.6,0.66,0.79,0.61,0.61,0.52,0.46,0.59,0.39,0.94,0.57
elateportal.csv,0.7,0.76,0.81,0.65,0.96,0.75,0.91,0.92,0.92,0.67,0.31,0.9,0.71
fmri-dmt.csv,0.92,0.0,0.8,0.83,0.0,0.67,0.5,0.0,0.83,0.67,0.0,0.86,0.83
ftm.csv,0.41,0.62,0.48,0.48,0.4,0.45,0.43,0.47,0.35,0.45,0.86,0.44,0.55
gusanos.csv,0.98,0.43,0.44,0.38,0.34,0.43,0.43,0.42,0.5,0.35,0.56,0.0,0.94
monetdb.csv,0.65,0.62,0.71,0.74,0.57,0.81,0.61,0.64,0.93,0.66,0.57,0.78,0.52
quarkplayer.csv,0.93,0.86,0.96,0.97,0.88,0.73,0.9,0.81,0.92,0.9,0.68,0.91,0.96
reactos-mirror.csv,0.63,0.58,0.5,0.53,0.48,0.6,0.5,0.51,0.33,0.55,0.29,0.41,0.45
sandiaportals.csv,0.55,0.58,0.51,0.47,0.41,0.53,0.61,0.42,0.37,0.39,0.48,0.43,0.4
xbplayer.csv,0.58,0.61,0.85,0.63,0.95,0.95,0.79,0.5,0.69,0.89,0.5,0.82,0.45
