,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,1.0,0.0,1.0,7.0,2.0,0.0,168.0,1.0,0.0,0.0,0.0,0.0,0.0
badtrinity-zero.csv,0.0,3.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
bibletime.csv,3.0,0.0,0.0,16.0,1.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0
critterding.csv,0.0,0.0,0.0,11.0,20.0,7.0,4.0,4.0,21.0,0.0,3.0,3.0,0.0
elateportal.csv,1.0,0.0,0.0,5.0,0.0,2.0,168.0,1.0,67.0,0.0,0.0,0.0,1.0
fmri-dmt.csv,0.0,74.0,0.0,132.0,145.0,152.0,168.0,95.0,0.0,0.0,49.0,0.0,2.0
ftm.csv,0.0,2.0,5.0,8.0,14.0,2.0,16.0,2.0,10.0,0.0,2.0,0.0,0.0
gusanos.csv,4.0,1.0,0.0,8.0,5.0,25.0,27.0,0.0,4.0,0.0,0.0,0.0,2.0
monetdb.csv,3.0,1.0,0.0,6.0,0.0,17.0,6.0,5.0,11.0,1.0,0.0,0.0,0.0
quarkplayer.csv,0.0,1.0,2.0,6.0,2.0,14.0,0.0,1.0,11.0,0.0,0.0,4.0,7.0
reactos-mirror.csv,0.0,2.0,0.0,10.0,0.0,3.0,11.0,2.0,2.0,0.0,2.0,4.0,1.0
sandiaportals.csv,0.0,1.0,0.0,5.0,7.0,5.0,14.0,2.0,12.0,1.0,1.0,0.0,0.0
xbplayer.csv,0.0,0.0,2.0,0.0,2.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
