,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.78,0.7,0.61,0.03,0.93
kmess.csv,0.76,0.68,0.65,0.75,0.03
minig.csv,1.0,0.57,0.07,0.65,0.67
rezilla.csv,0.11,0.95,0.91,0.99,0.8
webdriver.csv,0.87,0.0,0.77,0.54,0.59
