,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.54,0.94,0.49,0.36,0.42,0.34,0.25,0.29,0.08,0.0,0.22
freedom-erp.csv,0.37,0.0,0.38,0.0,0.14,0.0,0.15,1.0,0.18,0.0,0.0
haggle.csv,0.33,0.58,0.55,1.0,0.49,0.6,0.42,0.51,0.34,0.0,0.18
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
jmoney.csv,1.0,0.23,0.36,0.18,0.17,0.25,0.61,0.21,0.19,0.0,0.14
jsidplay2.csv,0.53,0.32,0.98,0.16,0.6,0.53,0.59,0.8,0.26,0.0,0.53
madman.csv,0.09,0.21,0.0,0.21,0.05,0.15,0.12,0.06,1.0,0.0,0.0
matrex.csv,0.64,0.46,0.65,0.1,0.61,0.51,0.99,0.81,0.34,0.0,0.17
mediate.csv,0.6,0.41,0.82,0.62,0.99,0.74,0.61,0.56,0.1,0.09,0.48
primefaces.csv,0.37,0.5,0.69,0.79,0.43,0.83,0.66,0.56,0.28,0.04,0.99
tmva.csv,0.59,0.5,0.74,0.5,0.64,0.98,0.66,0.77,0.25,0.0,0.6
