,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.51,0.08,0.69,0.79,0.75,0.87,0.85,0.83,0.94,1.01,0.88
freedom-erp.csv,0.75,1.0,0.76,1.0,0.92,1.0,0.92,0.0,0.88,1.0,1.0
haggle.csv,0.76,0.52,0.63,0.0,0.66,0.81,0.73,0.64,0.5,1.01,0.9
jchassis.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,1.0
jmoney.csv,0.0,0.86,0.78,0.9,0.91,0.86,0.51,0.88,0.78,1.0,0.93
jsidplay2.csv,0.68,0.78,0.05,0.92,0.65,0.64,0.54,0.69,0.79,1.04,0.82
madman.csv,0.95,0.86,1.0,0.88,0.98,0.92,0.93,0.97,0.0,1.0,1.0
matrex.csv,0.39,0.61,0.53,0.95,0.7,0.65,0.01,0.53,0.5,1.0,0.91
mediate.csv,0.46,0.73,0.53,0.73,0.03,0.56,0.84,0.81,0.97,0.58,0.71
primefaces.csv,1.04,1.0,0.95,0.93,0.79,1.0,0.97,0.69,0.86,0.87,0.04
tmva.csv,0.46,0.66,0.47,0.72,0.59,0.04,0.63,0.8,0.74,1.04,0.76
