,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.52,0.96,0.81,0.67,0.57,0.61,0.69,0.77,0.06,0.0,0.83
freedom-erp.csv,0.71,0.0,0.93,0.0,1.0,0.0,1.0,1.0,0.33,0.0,0.0
haggle.csv,0.5,0.47,0.86,1.0,0.68,0.69,0.49,0.73,0.24,0.0,0.8
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0
jmoney.csv,1.0,0.5,0.93,0.62,0.44,0.86,0.75,0.54,0.15,0.0,0.75
jsidplay2.csv,0.39,0.3,0.98,0.5,0.61,0.84,0.68,0.67,0.16,0.0,0.54
madman.csv,0.33,0.36,0.0,0.75,0.25,0.78,0.71,0.38,1.0,0.0,0.0
matrex.csv,0.58,0.45,0.88,0.67,0.58,0.88,1.0,0.71,0.22,0.0,0.57
mediate.csv,0.48,0.33,0.83,0.64,1.0,0.8,0.49,0.54,0.06,0.05,0.62
primefaces.csv,0.25,0.34,0.69,0.66,0.5,0.73,0.5,0.59,0.16,0.02,0.98
tmva.csv,0.48,0.39,0.86,0.64,0.64,0.99,0.56,0.63,0.15,0.0,0.58
