,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.22,0.85,0.75,0.14,0.38,0.25,0.14,0.06,0.26,0.88,0.21,0.31
ctrlr.csv,0.08,0.0,0.04,0.02,0.1,0.0,0.9,0.11,0.54,0.17,0.03,0.09
dvt.csv,0.11,0.31,0.15,0.98,0.19,0.02,0.38,0.17,0.23,0.04,0.0,0.28
flylinkdc.csv,1.0,0.61,0.29,0.36,0.33,0.38,0.43,0.72,0.15,0.33,0.48,0.34
free-evolution.csv,0.41,1.0,0.79,0.31,0.1,0.4,0.19,0.22,0.5,0.21,0.88,0.31
fw4spl.csv,0.24,0.0,0.58,0.4,0.43,0.9,0.86,0.39,0.67,0.54,0.58,0.5
ipfire-wall.csv,0.19,0.53,0.44,0.29,0.05,0.25,0.24,1.0,0.01,0.12,0.12,0.19
ldview.csv,0.49,0.12,0.4,0.19,0.9,0.19,0.05,0.33,0.65,0.17,0.36,0.22
nuttx.csv,0.81,0.8,0.99,0.83,0.57,0.88,0.24,0.78,0.99,1.0,0.91,0.91
uclmda.csv,0.35,0.07,0.43,0.07,0.52,0.58,0.19,0.33,1.0,0.58,0.42,0.47
vdsf.csv,0.95,0.87,0.19,0.81,0.86,0.19,1.0,1.0,0.81,0.83,0.79,0.72
xcf.csv,0.78,0.67,0.33,0.48,0.71,0.79,0.52,0.72,0.51,0.67,0.61,1.0
