,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.81,0.87,0.86,0.88,0.68,0.77,0.87,0.95,0.76,0.12,0.8,0.69
ctrlr.csv,0.92,1.0,0.96,0.98,0.92,1.0,0.1,0.92,0.46,0.86,0.97,0.91
dvt.csv,0.91,0.7,0.87,0.03,0.81,0.99,0.69,0.85,0.77,0.97,1.0,0.73
flylinkdc.csv,0.01,0.89,0.79,0.85,0.68,0.67,0.74,0.45,0.91,0.71,0.58,0.66
free-evolution.csv,0.71,0.99,0.8,0.73,0.91,0.65,0.83,0.81,0.53,0.8,0.12,0.69
fw4spl.csv,0.93,1.0,0.73,0.78,0.91,0.1,0.59,0.89,0.6,0.85,0.7,0.64
ipfire-wall.csv,0.82,0.57,0.71,0.77,0.95,0.77,0.81,0.0,1.05,0.88,0.89,0.82
ldview.csv,0.69,0.89,0.65,0.94,0.1,0.83,0.96,0.81,0.48,0.84,0.66,0.78
nuttx.csv,0.77,0.99,0.05,0.47,0.61,0.82,0.89,0.74,0.83,0.96,0.95,0.9
uclmda.csv,0.75,0.93,0.62,0.94,0.61,0.68,0.84,0.89,0.0,0.56,0.68,0.63
vdsf.csv,0.82,0.13,0.88,0.83,0.74,0.83,0.95,0.97,0.85,0.86,0.89,0.88
xcf.csv,0.6,0.53,0.8,0.68,0.64,0.53,0.64,0.86,0.7,0.62,0.61,0.03
