,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.89,0.31,0.64,0.54,0.61,0.87,0.9,0.8,0.67,0.95,0.89,0.73
ctrlr.csv,0.92,0.0,0.89,0.75,0.88,0.5,0.95,0.91,0.44,0.97,0.83,0.83
dvt.csv,0.96,0.99,0.97,0.69,0.86,0.98,0.81,0.89,0.97,0.95,0.89,0.92
flylinkdc.csv,0.68,0.33,0.71,0.61,0.67,0.61,0.68,0.5,0.96,0.71,0.55,0.85
free-evolution.csv,0.62,0.26,0.6,0.58,0.86,0.71,0.93,0.85,0.43,0.95,0.86,0.75
fw4spl.csv,0.73,0.95,0.84,0.96,0.74,0.98,0.69,0.58,0.36,0.56,0.74,0.75
ipfire-wall.csv,0.95,0.52,0.76,0.6,0.67,0.84,0.91,0.56,0.67,0.94,0.94,0.88
ldview.csv,0.59,0.99,0.85,0.84,0.65,0.98,0.88,0.48,0.37,0.93,0.72,0.89
nuttx.csv,0.35,0.27,0.61,0.38,0.5,0.45,0.5,0.38,0.26,0.42,0.47,0.43
uclmda.csv,0.63,0.99,0.99,0.93,0.52,0.6,0.94,0.54,0.26,0.58,0.6,0.56
vdsf.csv,0.41,0.99,0.92,0.63,0.56,0.98,0.47,0.35,0.31,0.47,0.51,0.5
xcf.csv,0.38,0.42,0.65,0.41,0.47,0.47,0.61,0.4,0.43,0.53,0.46,0.48
