,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.33,0.47,1.0,0.32,0.76,0.34,0.67,0.39,0.43,0.27,0.62,0.56
jaolt.csv,0.83,0.33,0.42,0.21,0.76,0.16,0.99,0.76,0.64,0.7,0.77,0.71
jcl.csv,0.08,0.03,0.02,0.42,0.14,0.59,0.0,0.0,0.79,0.14,0.15,0.16
kmess.csv,0.58,0.37,0.31,0.26,0.76,0.84,0.44,0.76,0.64,0.49,0.38,0.98
ossbuild.csv,0.25,0.3,0.33,0.11,0.41,0.91,0.16,0.18,0.71,0.32,0.77,0.43
qgo.csv,0.08,0.97,0.13,0.11,0.63,0.38,0.38,0.47,0.57,0.14,0.46,0.19
quark.csv,0.0,0.43,0.02,0.0,0.0,0.0,0.01,0.0,0.14,0.0,0.92,0.0
rezilla.csv,0.67,0.77,0.92,1.0,0.65,0.41,1.0,0.76,0.86,0.86,0.92,0.66
rhex.csv,1.0,0.57,0.46,0.0,0.39,0.03,0.3,0.32,0.57,0.27,0.46,0.18
toped.csv,1.0,0.27,0.31,0.95,1.0,1.0,0.32,0.74,0.57,0.81,0.38,0.85
truevision.csv,0.42,0.9,0.92,0.47,0.67,0.19,0.64,0.92,1.0,0.27,1.0,0.6
wxstudio.csv,0.58,0.57,0.25,0.16,0.29,0.47,0.81,0.63,0.64,0.97,0.77,0.61
