,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.7,0.52,0.7,0.8,0.36,0.52,0.45,0.9,0.6,0.62,0.56,0.43
jaolt.csv,0.5,0.77,0.53,0.83,0.33,0.42,0.4,0.36,0.4,0.45,0.39,0.41
jcl.csv,0.86,0.8,0.67,0.52,0.88,0.98,0.0,0.92,0.91,0.93,0.77,0.94
kmess.csv,0.59,0.61,0.64,0.68,0.36,0.48,0.42,0.42,0.5,0.53,0.44,0.49
ossbuild.csv,0.91,0.83,0.89,0.87,0.56,0.97,0.93,0.91,0.64,0.92,0.46,0.68
qgo.csv,0.87,0.45,0.89,0.75,0.43,0.52,0.49,0.6,0.44,0.67,0.47,0.97
quark.csv,0.0,0.5,0.92,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.92,0.0
rezilla.csv,0.45,0.39,0.4,0.68,0.33,0.35,0.35,0.36,0.39,0.48,0.34,0.37
rhex.csv,0.92,0.48,0.7,0.0,0.45,0.75,0.67,0.88,0.59,0.79,0.65,0.95
toped.csv,0.42,0.93,0.63,0.4,0.33,0.42,0.61,0.44,0.5,0.49,0.52,0.41
truevision.csv,0.73,0.38,0.45,0.72,0.37,0.98,0.45,0.63,0.42,0.6,0.38,0.47
wxstudio.csv,0.67,0.47,0.54,0.75,0.65,0.57,0.36,0.48,0.37,0.59,0.4,0.54
