,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.2,0.37,0.01,0.22,0.33,0.53,0.69,0.07,0.24,0.29,0.37,0.33
jaolt.csv,0.57,0.09,0.36,0.05,0.67,0.52,0.0,0.77,0.6,0.33,0.85,0.67
jcl.csv,0.07,0.11,0.02,0.62,0.11,0.1,0.0,0.17,0.0,0.2,0.21,0.05
kmess.csv,0.52,0.34,0.32,0.57,0.56,0.82,0.38,0.73,0.36,0.51,0.38,0.02
ossbuild.csv,0.1,0.4,0.2,0.32,0.44,0.0,0.07,0.06,0.34,0.51,0.52,0.24
qgo.csv,0.17,0.0,0.13,0.05,0.56,0.51,0.24,0.49,0.34,0.27,0.5,0.22
quark.csv,0.0,0.31,0.13,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
rezilla.csv,0.59,0.66,0.89,0.0,0.33,0.81,1.0,0.62,0.75,0.69,0.94,0.6
rhex.csv,0.0,0.34,0.4,0.0,0.22,0.01,0.17,0.07,0.42,0.08,0.33,0.04
toped.csv,0.77,0.17,0.24,0.88,0.0,1.0,0.34,0.73,0.31,0.78,0.35,0.87
truevision.csv,0.21,0.8,0.8,0.22,0.78,0.19,0.66,0.0,0.85,0.51,0.81,0.33
wxstudio.csv,0.51,0.49,0.38,0.02,0.22,0.48,0.72,0.69,0.69,0.02,0.71,0.45
