,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.56,0.15,0.52,0.61,0.21,0.47,0.52,0.99,0.45,0.49,0.65,0.7,0.63,0.32,0.23,0.38,0.33,0.71
decidr.csv,0.36,0.26,0.58,0.64,0.3,0.2,0.65,0.73,0.39,0.44,0.99,0.67,0.65,0.35,0.17,0.45,0.41,0.72
elmo.csv,0.06,0.91,0.04,0.08,0.06,0.14,0.23,0.11,0.04,0.0,0.1,0.19,0.16,0.12,0.05,0.0,0.0,0.06
gpac.csv,0.36,0.0,0.44,0.38,0.15,0.39,0.51,0.55,0.32,0.5,0.44,0.96,0.58,0.38,0.22,0.36,0.36,0.46
illumination.csv,0.16,0.1,0.27,0.23,0.35,0.3,0.45,0.57,0.21,0.32,0.07,0.39,0.37,0.29,0.19,0.27,0.94,0.27
img-browse-sort.csv,0.37,0.13,0.38,0.52,0.39,0.29,0.29,0.45,0.39,0.05,0.44,0.4,0.36,0.18,0.31,1.0,0.17,0.44
jajuk.csv,0.63,0.17,0.53,0.97,0.37,0.23,0.57,0.62,0.53,0.61,0.58,0.4,0.59,0.15,0.29,0.51,0.27,0.64
ktc.csv,0.99,0.22,0.57,0.57,0.41,0.38,0.48,0.49,0.56,0.47,0.44,0.38,0.45,0.38,0.27,0.37,0.41,0.61
miranda.csv,0.64,0.21,0.55,0.57,0.34,0.33,0.51,0.71,0.48,0.46,0.42,0.6,0.54,0.4,0.23,0.47,0.35,0.98
neoengine.csv,0.54,0.11,0.97,0.58,0.34,0.4,0.67,0.68,0.44,0.44,0.55,0.61,0.63,0.51,0.22,0.4,0.34,0.76
nicepress.csv,0.58,0.0,0.57,0.37,0.32,0.46,0.12,0.64,0.51,1.0,0.44,0.55,0.54,0.1,0.32,0.3,0.3,0.52
omseek.csv,0.12,0.0,0.16,0.25,0.13,0.0,0.16,0.13,0.22,0.34,0.25,0.52,0.13,0.07,0.9,0.13,0.11,0.15
rosegarden.csv,0.62,0.1,0.48,0.53,0.37,0.4,0.42,0.45,0.96,0.32,0.51,0.53,0.42,0.35,0.19,0.26,0.18,0.69
smarttag.csv,0.56,0.18,0.54,0.57,0.28,0.41,0.64,0.7,0.5,0.55,0.6,0.66,0.65,0.96,0.23,0.43,0.28,0.75
sylpheed-claws.csv,0.6,0.11,0.57,0.63,0.24,0.41,0.64,0.72,0.46,0.54,0.66,0.69,0.97,0.42,0.23,0.42,0.29,0.68
vapor.csv,0.57,0.15,0.45,0.44,0.34,0.89,0.41,0.41,0.39,0.25,0.42,0.46,0.41,0.29,0.36,0.27,0.09,0.56
zorannt.csv,0.3,0.18,0.23,0.39,0.88,0.26,0.55,0.33,0.27,0.22,0.38,0.43,0.34,0.42,0.21,0.37,0.22,0.17
zscreen.csv,0.63,0.21,0.59,0.6,0.32,0.47,1.0,0.68,0.44,0.57,0.72,0.6,0.57,0.42,0.27,0.29,0.2,0.76
