,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.47,0.57,0.54,0.43,0.7,0.48,0.57,0.41,0.45,0.49,0.4,0.31,0.4,0.44,0.52,0.38,0.49,0.4
decidr.csv,0.58,0.42,0.44,0.44,0.56,0.74,0.53,0.41,0.62,0.59,0.46,0.35,0.47,0.54,0.57,0.39,0.51,0.38
elmo.csv,0.93,0.83,0.5,0.95,0.92,0.75,0.83,0.91,0.98,0.88,0.97,0.88,0.96,0.67,0.98,0.0,0.5,0.94
gpac.csv,0.72,0.89,0.79,0.91,0.75,0.73,0.64,0.44,0.89,0.58,0.67,0.48,0.57,0.61,0.69,0.67,0.57,0.73
illumination.csv,0.96,0.93,0.96,0.98,0.94,0.55,0.71,0.54,0.97,0.77,0.94,0.68,0.84,0.81,0.72,0.59,0.93,0.98
img-browse-sort.csv,0.97,0.7,0.93,0.59,0.68,0.88,0.89,0.68,0.98,0.86,0.79,0.72,0.9,0.88,0.92,0.77,0.83,0.64
jajuk.csv,0.47,0.43,0.42,0.45,0.46,0.57,0.43,0.38,0.57,0.54,0.47,0.56,0.48,0.54,0.5,0.45,0.48,0.41
ktc.csv,0.5,0.54,0.51,0.57,0.65,0.52,0.62,0.47,0.63,0.73,0.67,0.55,0.48,0.86,0.6,0.47,0.71,0.4
miranda.csv,0.42,0.48,0.47,0.52,0.53,0.45,0.55,0.37,0.47,0.57,0.64,0.41,0.46,0.62,0.45,0.53,0.51,0.39
neoengine.csv,0.47,0.54,0.58,0.5,0.57,0.46,0.43,0.47,0.57,0.51,0.51,0.45,0.5,0.45,0.57,0.55,0.53,0.36
nicepress.csv,0.58,0.83,0.58,0.83,0.64,0.53,0.67,0.43,0.62,0.58,0.69,0.49,0.49,0.83,0.72,0.86,0.7,0.48
omseek.csv,0.93,0.5,0.92,0.95,0.88,0.0,0.8,0.86,0.96,0.71,0.98,0.52,0.91,0.86,0.96,0.5,0.5,0.96
rosegarden.csv,0.55,0.56,0.61,0.67,0.71,0.62,0.64,0.57,0.67,0.69,0.63,0.65,0.56,0.55,0.73,0.9,0.81,0.42
smarttag.csv,0.46,0.36,0.45,0.48,0.54,0.57,0.45,0.34,0.55,0.49,0.48,0.33,0.38,0.85,0.49,0.32,0.44,0.33
sylpheed-claws.csv,0.53,0.42,0.48,0.45,0.6,0.5,0.48,0.34,0.55,0.45,0.46,0.38,0.49,0.45,0.51,0.5,0.43,0.36
vapor.csv,0.69,0.88,0.89,0.81,0.96,0.77,0.83,0.71,0.98,0.86,0.79,0.61,0.74,0.65,0.97,0.89,0.83,0.51
zorannt.csv,0.97,0.53,0.96,0.77,0.94,0.76,0.62,0.87,0.95,0.9,0.76,0.74,0.7,0.4,0.97,0.63,0.9,0.97
zscreen.csv,0.46,0.46,0.51,0.45,0.56,0.44,0.48,0.45,0.51,0.46,0.4,0.41,0.59,0.42,0.52,0.43,0.5,0.38
