,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.6,0.66,0.57,0.59,0.73,0.54,0.64,0.02,0.62,0.63,0.75,0.78,0.6,0.84,0.61,0.73,0.64,0.72
decidr.csv,0.83,0.38,0.57,0.51,0.57,0.86,0.53,0.76,0.66,0.66,0.02,0.75,0.66,0.7,0.75,0.68,0.53,0.78
elmo.csv,0.97,0.01,0.98,0.96,0.96,0.92,0.87,0.94,0.98,1.01,0.95,0.89,0.91,0.93,0.95,1.0,1.0,0.97
gpac.csv,0.74,1.01,0.66,0.74,0.85,0.64,0.66,0.65,0.75,0.58,0.71,0.06,0.55,0.65,0.68,0.67,0.61,0.72
illumination.csv,0.91,0.83,0.82,0.86,0.7,0.8,0.85,0.77,0.86,0.77,0.96,0.76,0.75,0.76,0.71,0.77,0.12,0.85
img-browse-sort.csv,0.75,0.81,0.74,0.61,0.58,0.77,0.83,0.71,0.72,0.98,0.71,0.74,0.77,0.87,0.67,0.0,0.88,0.71
jajuk.csv,0.49,0.57,0.58,0.06,0.46,0.82,0.6,0.59,0.48,0.46,0.6,0.85,0.54,0.9,0.49,0.46,0.79,0.59
ktc.csv,0.02,0.62,0.52,0.56,0.58,0.65,0.67,0.69,0.52,0.67,0.7,0.77,0.67,0.72,0.61,0.64,0.61,0.58
miranda.csv,0.52,0.5,0.92,0.55,0.5,0.74,0.69,0.64,0.59,0.61,0.72,0.77,0.61,0.63,0.66,0.53,0.62,0.04
neoengine.csv,0.68,0.93,0.05,0.62,0.54,0.83,0.88,0.65,0.59,0.75,0.61,0.66,0.65,0.51,0.69,0.61,0.66,0.64
nicepress.csv,0.53,1.0,0.53,0.75,0.63,0.55,0.93,0.56,0.55,0.0,0.7,0.62,0.59,0.94,0.57,0.78,0.7,0.67
omseek.csv,0.93,1.0,0.91,0.86,0.91,1.0,0.91,0.93,0.86,0.74,0.85,0.68,0.93,0.99,0.18,0.92,0.94,0.92
rosegarden.csv,0.49,0.83,0.61,0.59,0.59,0.62,0.99,0.73,0.06,0.76,0.65,0.61,0.7,0.67,0.69,0.79,0.84,0.48
smarttag.csv,0.55,0.55,0.96,0.56,0.61,0.61,0.58,0.55,0.52,0.53,0.57,0.77,0.52,0.07,0.61,0.67,0.76,0.57
sylpheed-claws.csv,0.49,0.76,0.52,0.49,0.69,0.6,0.51,0.59,0.56,0.54,0.52,0.55,0.04,0.62,0.59,0.57,0.74,0.7
vapor.csv,0.57,0.81,0.68,0.69,0.66,0.16,0.74,0.74,0.71,0.83,0.72,0.68,0.72,0.75,0.64,0.79,0.94,0.61
zorannt.csv,0.8,0.64,0.86,0.76,0.22,0.79,0.69,0.81,0.84,0.86,0.79,0.71,0.78,1.0,0.79,0.64,0.83,0.91
zscreen.csv,0.49,0.51,0.49,0.68,0.54,0.54,0.0,0.57,0.65,0.56,0.54,0.78,0.59,0.72,0.54,0.79,0.85,0.82
