,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.69,0.46,0.57,0.5,0.55,0.46,0.27,0.83,0.47,0.0
geotools.csv,0.43,0.15,0.06,0.06,0.07,0.0,0.0,0.2,0.09,0.24
gephex.csv,0.92,0.59,0.52,0.31,0.63,0.36,0.47,0.0,0.45,0.53
haggle.csv,0.47,0.0,0.15,0.44,0.41,0.54,0.04,0.41,0.08,0.03
java-gnome.csv,0.08,0.2,0.2,0.0,0.43,0.31,0.36,0.2,0.23,0.29
jgnash.csv,0.53,0.54,0.0,0.12,0.33,0.02,0.14,0.56,0.08,0.32
jrdf.csv,0.32,0.32,0.23,0.25,0.27,0.0,0.31,0.15,0.22,0.41
mpqc.csv,0.0,0.51,0.63,0.81,0.43,0.47,0.64,0.44,0.89,0.47
panda3d.csv,0.28,0.24,0.05,0.44,0.01,0.08,0.21,0.41,0.25,0.12
tencompetence.csv,0.48,0.32,0.37,0.56,0.42,0.81,0.6,0.27,0.01,0.35
