,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.55,0.54,0.72,0.95,0.67,0.67,0.33,0.73,0.34,1.0
geotools.csv,0.05,0.23,0.08,0.05,0.12,0.07,0.95,0.17,0.03,0.25
gephex.csv,0.95,0.58,0.64,0.33,0.56,0.47,0.71,0.99,0.33,0.47
haggle.csv,0.15,1.0,0.16,0.23,0.52,0.47,0.09,0.23,0.05,0.05
java-gnome.csv,0.2,0.42,0.4,1.0,0.5,0.67,0.42,0.25,0.22,0.34
jgnash.csv,0.25,0.57,0.88,0.12,0.44,0.07,0.22,0.39,0.06,0.33
jrdf.csv,0.05,0.15,0.4,0.58,0.23,1.0,0.48,0.15,0.15,0.45
mpqc.csv,0.95,0.55,0.4,0.82,0.31,0.33,0.6,0.49,0.91,0.39
panda3d.csv,0.25,0.14,0.04,0.42,0.9,0.07,0.12,0.27,0.2,0.2
tencompetence.csv,0.45,0.36,0.44,0.61,0.54,0.6,0.54,0.31,0.99,0.2
