,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.48,0.54,0.63,0.81,0.61,0.64,0.37,0.44,0.37,1.0
geotools.csv,0.06,0.27,0.1,0.06,0.15,0.09,0.96,0.2,0.04,0.29
gephex.csv,0.3,0.54,0.6,0.37,0.51,0.5,0.66,0.99,0.36,0.47
haggle.csv,0.18,1.0,0.19,0.26,0.53,0.47,0.11,0.26,0.06,0.06
java-gnome.csv,0.24,0.46,0.44,1.0,0.51,0.67,0.45,0.29,0.26,0.38
jgnash.csv,0.28,0.54,0.9,0.15,0.47,0.09,0.26,0.4,0.07,0.37
jrdf.csv,0.06,0.18,0.44,0.61,0.27,1.0,0.51,0.18,0.18,0.47
mpqc.csv,0.96,0.54,0.39,0.49,0.34,0.36,0.53,0.5,0.37,0.41
panda3d.csv,0.29,0.17,0.05,0.44,0.92,0.09,0.14,0.3,0.23,0.24
tencompetence.csv,0.46,0.4,0.47,0.57,0.55,0.42,0.5,0.35,0.99,0.23
