,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.61,0.58,0.48,0.5,0.52,0.37,0.27,0.67,0.4,0.95,0.52,0.34,0.47,0.65,0.67
cornerstone.csv,0.52,0.64,0.67,0.52,0.88,0.98,0.6,0.56,0.56,0.9,0.6,0.27,0.75,0.74,0.62
esmf.csv,0.74,0.94,0.33,0.65,0.71,0.94,0.8,0.28,0.84,0.75,0.65,0.6,0.53,0.62,0.79
frogatto.csv,0.81,0.85,0.64,0.69,0.77,0.73,0.87,0.94,0.8,0.75,0.89,0.86,0.97,1.0,0.71
gretl.csv,0.9,0.88,0.84,0.95,0.89,1.0,0.93,0.67,0.99,0.85,0.85,0.93,0.86,0.91,0.83
kindb.csv,0.61,0.55,0.52,0.49,0.74,0.57,0.4,0.89,0.53,0.15,0.63,0.37,0.53,0.97,0.25
libtorrent.csv,0.84,0.97,0.73,0.74,0.93,0.86,0.87,0.83,0.88,0.9,0.99,0.97,0.81,0.94,0.83
mia.csv,0.35,0.33,0.19,0.31,0.43,0.22,0.2,0.94,0.58,0.85,0.25,0.44,0.19,0.68,0.04
open-beos.csv,0.58,0.48,0.44,0.96,0.59,0.41,0.67,0.61,0.62,0.35,0.53,0.26,0.42,0.56,0.42
pidgin.csv,0.65,0.82,0.58,0.69,0.98,0.59,0.87,0.72,0.56,0.5,0.57,0.66,0.64,0.74,0.5
quantlib.csv,0.35,0.33,0.38,0.16,0.28,0.18,0.67,0.44,0.22,0.1,0.26,0.74,0.44,0.15,0.75
riff-evolve.csv,0.71,0.64,0.56,0.72,0.92,0.51,0.73,0.56,0.95,0.7,0.57,0.95,0.5,0.85,0.5
tokratan.csv,0.42,0.33,0.05,0.38,0.45,0.33,0.73,0.61,0.24,0.25,0.52,0.11,0.06,0.59,0.12
upp-mirror.csv,0.32,0.45,0.98,0.48,0.53,0.31,0.47,0.56,0.68,0.1,0.47,0.42,0.67,0.74,0.42
wxcrp.csv,0.94,0.27,0.19,0.17,0.47,0.49,0.47,0.44,0.36,0.0,0.29,0.54,0.22,0.44,0.12
