,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.53,0.65,0.63,0.63,0.61,0.68,0.74,0.71,0.67,0.05,0.62,0.72,0.64,0.43,0.5
cornerstone.csv,0.7,0.57,0.57,0.57,0.9,0.05,0.48,0.63,0.56,0.59,0.6,0.79,0.47,0.36,0.44
esmf.csv,0.84,0.06,0.77,0.69,0.59,0.9,0.86,0.75,0.88,0.95,0.7,0.76,0.79,1.07,0.74
frogatto.csv,0.64,0.62,0.5,0.6,0.73,0.73,0.43,0.77,0.73,0.51,0.68,0.86,0.03,0.94,0.82
gretl.csv,0.9,0.77,0.89,0.89,0.65,0.98,0.98,0.84,0.1,0.82,0.74,0.83,0.77,0.76,0.88
kindb.csv,0.46,0.6,0.57,0.57,0.4,0.62,0.62,0.79,0.53,0.85,0.5,0.7,0.48,0.03,0.77
libtorrent.csv,0.7,0.79,0.82,0.74,0.72,0.8,0.85,0.94,0.55,0.84,0.01,0.9,0.78,0.75,0.71
mia.csv,0.66,0.75,0.88,0.77,0.98,0.8,0.89,0.06,0.9,0.96,0.82,0.8,0.84,0.99,0.99
open-beos.csv,0.64,0.63,0.67,0.05,0.47,0.7,0.64,0.47,0.58,0.69,0.61,0.76,0.69,0.71,0.73
pidgin.csv,0.57,0.49,0.72,0.55,0.02,0.65,0.67,0.6,0.52,0.59,0.58,0.59,0.39,0.51,0.69
quantlib.csv,0.65,0.69,0.65,0.84,0.73,0.82,0.9,0.56,0.79,0.9,0.74,0.86,0.56,0.85,0.25
riff-evolve.csv,0.62,0.7,0.59,0.68,0.85,0.6,0.49,0.67,0.93,0.91,0.62,0.06,0.57,0.7,0.67
tokratan.csv,0.62,0.68,0.96,0.65,0.59,0.71,0.27,0.5,0.76,0.75,0.5,0.89,0.94,0.45,0.88
upp-mirror.csv,0.82,0.64,0.03,0.61,0.78,0.73,0.59,0.53,0.74,0.97,0.69,0.67,0.56,0.8,0.69
wxcrp.csv,0.07,0.74,0.82,0.83,0.54,0.66,0.81,0.57,0.65,1.0,0.71,0.74,0.78,0.56,0.88
