,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.43,0.44,0.46,0.46,0.42,0.57,0.93,0.41,0.51,0.53,0.44,0.61,0.45,0.31,0.51
cornerstone.csv,0.52,0.41,0.37,0.55,0.41,0.46,0.51,0.46,0.38,0.36,0.39,0.57,0.45,0.31,0.65
esmf.csv,0.47,0.84,0.64,0.56,0.44,0.34,0.48,0.83,0.5,0.46,0.49,0.65,0.53,0.57,0.45
frogatto.csv,0.42,0.44,0.44,0.46,0.41,0.38,0.47,0.48,0.47,0.42,0.37,0.48,0.49,0.45,0.37
gretl.csv,0.41,0.43,0.33,0.41,0.36,0.32,0.41,0.39,0.43,0.43,0.36,0.42,0.41,0.44,0.35
kindb.csv,0.45,0.38,0.38,0.54,0.35,0.37,0.65,0.35,0.34,0.83,0.36,0.48,0.45,0.39,0.83
libtorrent.csv,0.4,0.42,0.34,0.4,0.35,0.33,0.42,0.41,0.38,0.4,0.36,0.41,0.37,0.41,0.37
mia.csv,0.82,0.91,0.96,0.96,0.7,0.95,0.94,0.94,0.71,0.43,0.83,0.81,0.93,0.58,0.96
open-beos.csv,0.46,0.52,0.63,0.58,0.44,0.58,0.58,0.61,0.48,0.67,0.48,0.8,0.59,0.5,0.61
pidgin.csv,0.53,0.42,0.36,0.51,0.39,0.47,0.4,0.42,0.39,0.62,0.42,0.42,0.46,0.41,0.53
quantlib.csv,0.72,0.77,0.61,0.97,0.67,0.9,0.46,0.96,0.66,0.5,0.8,0.54,0.56,0.8,0.94
riff-evolve.csv,0.43,0.6,0.44,0.56,0.39,0.49,0.5,0.45,0.45,0.47,0.4,0.56,0.44,0.5,0.45
tokratan.csv,0.53,0.73,0.83,0.64,0.45,0.63,0.91,0.51,0.7,0.8,0.44,0.94,0.5,0.43,0.92
upp-mirror.csv,0.75,0.69,0.45,0.7,0.56,0.72,0.77,0.54,0.58,0.93,0.56,0.82,0.59,0.57,0.73
wxcrp.csv,0.63,0.72,0.94,0.97,0.47,0.55,0.67,0.8,0.46,0.0,0.62,0.74,0.9,0.47,0.83
