,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.71,0.67,0.84,0.0,0.74,0.38,0.55,0.78,0.97,0.88,0.96,1.0,0.87,0.8,0.52,0.77,0.84
encog-cs.csv,0.59,0.83,0.34,1.0,0.82,0.79,1.0,1.0,0.0,0.87,0.69,0.0,0.88,0.48,0.94,0.97,0.97
extprosys.csv,0.94,1.0,0.02,0.79,0.84,0.71,0.64,0.67,0.89,0.79,0.81,1.0,0.8,0.9,0.87,0.93,0.77
ibatisdb.csv,0.1,0.5,0.28,0.21,0.22,0.25,0.45,0.11,0.08,0.35,0.08,1.0,0.13,0.08,0.0,0.27,0.1
intact.csv,0.48,0.5,0.19,0.21,0.29,0.0,0.18,0.0,0.58,0.41,0.38,1.0,0.17,0.25,0.19,0.1,0.23
japano.csv,0.96,1.0,0.84,0.79,0.94,0.97,0.36,0.0,0.97,0.93,0.96,1.0,0.85,0.85,0.94,0.8,0.81
lockss.csv,0.07,0.33,0.19,0.07,0.12,0.15,0.18,0.11,0.06,0.0,0.41,0.0,0.05,0.08,0.26,0.2,0.0
ofbiz.csv,0.44,0.5,0.58,0.36,0.22,0.36,0.18,0.33,0.36,0.21,0.41,0.0,0.27,0.01,0.38,0.13,0.58
officefloor.csv,0.1,0.17,0.63,0.86,0.34,0.45,0.91,0.78,0.04,0.41,0.0,0.0,0.57,0.03,0.88,0.83,0.74
opennms.csv,0.31,0.33,0.69,0.21,0.01,0.08,0.27,0.0,0.43,0.15,0.13,1.0,0.13,0.18,0.16,0.03,0.03
papertoolkit.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0
rohxel.csv,0.62,0.67,0.17,0.36,0.4,0.4,0.09,0.22,0.75,0.18,0.14,0.0,0.55,0.3,0.65,0.37,0.23
sevenupdate.csv,0.93,0.0,0.96,1.0,0.78,0.89,0.36,1.0,0.64,0.3,0.89,1.0,0.18,0.78,0.92,0.67,0.97
web-cat.csv,0.51,0.17,0.17,0.43,0.42,0.37,0.64,0.11,0.14,0.27,0.47,1.0,0.45,0.34,0.38,0.3,0.0
xcf.csv,0.62,0.67,0.38,0.57,0.55,0.63,0.64,0.56,0.34,0.42,0.35,0.0,0.33,0.36,0.57,0.0,0.71
