,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.67,0.65,0.45,1.0,0.59,0.63,0.58,0.4,0.13,0.39,0.17,0.0,0.43,0.53,0.74,0.5,0.43
encog-cs.csv,0.78,0.43,0.36,0.0,0.45,0.49,0.0,0.0,0.96,0.42,0.55,0.56,0.35,0.5,0.24,0.13,0.13
extprosys.csv,0.24,0.0,0.92,0.54,0.44,0.59,0.55,0.61,0.37,0.5,0.45,0.0,0.46,0.34,0.41,0.26,0.49
ibatisdb.csv,0.0,0.21,0.2,0.2,0.21,0.27,0.39,0.35,0.17,0.11,0.19,0.0,0.38,0.2,0.95,0.38,0.42
intact.csv,0.84,0.54,0.3,0.51,0.47,0.94,0.27,0.39,0.46,0.26,0.56,0.0,0.38,0.44,0.4,0.29,0.36
japano.csv,0.17,0.0,0.48,0.51,0.23,0.13,0.66,0.99,0.13,0.27,0.17,0.0,0.47,0.46,0.24,0.54,0.47
lockss.csv,0.99,0.25,0.18,0.04,0.13,0.24,0.3,0.25,0.11,0.93,0.13,0.07,0.0,0.06,0.61,0.32,0.06
ofbiz.csv,0.86,0.46,0.54,0.52,0.29,0.4,0.55,0.39,0.47,0.31,0.76,0.62,0.68,0.99,0.76,0.14,0.57
officefloor.csv,0.0,0.46,0.46,0.41,0.42,0.53,0.3,0.53,0.1,0.26,0.78,0.63,0.35,0.0,0.39,0.45,0.6
opennms.csv,0.0,0.67,0.54,0.14,0.91,0.2,0.52,0.19,0.41,0.27,0.37,0.0,0.0,0.29,0.13,0.11,0.06
papertoolkit.csv,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rohxel.csv,0.75,0.46,0.48,0.63,0.42,0.54,0.98,0.68,0.53,0.59,0.37,0.58,0.61,0.4,0.67,0.7,0.3
sevenupdate.csv,0.0,1.0,0.17,0.0,0.49,0.37,0.51,0.0,0.52,0.4,0.37,0.0,0.37,0.54,0.3,0.55,0.13
web-cat.csv,0.0,0.38,0.11,0.43,0.45,0.46,0.36,0.46,0.24,0.27,0.41,0.0,0.0,0.34,0.25,0.32,1.0
xcf.csv,0.75,0.39,0.58,0.48,0.59,0.49,0.58,0.5,0.5,0.56,0.59,0.58,0.67,0.59,0.44,1.0,0.61
