,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.71,0.68,0.86,0.0,0.75,0.53,0.67,0.92,0.97,0.89,0.96,1.02,0.87,0.81,0.54,0.82,0.88
encog-cs.csv,0.59,0.88,0.76,1.0,0.87,0.84,1.0,1.0,0.05,0.87,0.76,0.5,0.94,0.7,0.94,0.97,0.97
extprosys.csv,0.94,1.1,0.1,0.79,0.87,0.74,0.73,0.7,0.89,0.83,0.87,1.12,0.87,0.91,0.88,0.96,0.84
ibatisdb.csv,1.0,0.96,0.87,0.86,0.85,0.81,0.79,0.71,0.87,0.97,0.85,1.28,0.68,0.83,0.06,0.71,0.64
intact.csv,0.48,0.67,0.76,0.58,0.64,0.07,0.79,0.66,0.79,0.88,0.59,1.33,0.69,0.65,0.67,0.76,0.72
japano.csv,0.96,1.0,0.84,0.82,0.95,0.97,0.49,0.01,0.97,0.94,0.96,1.0,0.85,0.85,0.95,0.8,0.85
lockss.csv,0.07,0.84,0.87,0.97,0.9,0.81,0.77,0.8,0.91,0.09,0.98,0.94,1.0,0.95,0.49,0.75,0.95
ofbiz.csv,0.44,0.74,0.71,0.62,0.78,0.73,0.52,0.73,0.66,0.76,0.45,0.43,0.43,0.02,0.43,0.89,0.69
officefloor.csv,1.0,0.61,0.81,0.88,0.69,0.65,0.94,0.8,0.93,0.88,0.26,0.42,0.87,1.0,0.89,0.86,0.75
opennms.csv,1.05,0.47,0.77,0.91,0.11,0.84,0.58,0.84,0.76,0.79,0.7,1.09,1.01,0.77,0.9,0.91,0.95
papertoolkit.csv,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.98,1.0,0.91,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rohxel.csv,0.62,0.83,0.59,0.51,0.73,0.61,0.09,0.4,0.79,0.49,0.7,0.47,0.64,0.7,0.66,0.46,0.77
sevenupdate.csv,1.37,0.0,0.96,1.0,0.83,0.89,0.63,1.0,0.77,0.71,0.9,1.0,0.69,0.8,0.92,0.75,0.97
web-cat.csv,1.12,0.69,0.92,0.73,0.71,0.68,0.9,0.6,0.81,0.82,0.77,1.2,1.1,0.78,0.87,0.78,0.0
xcf.csv,0.62,0.89,0.58,0.76,0.65,0.78,0.71,0.73,0.63,0.62,0.55,0.48,0.47,0.56,0.8,0.0,0.73
