,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.03,0.88,0.41,1.0,0.44,0.49,0.7,0.65,0.52,0.33,0.05,0.89,0.1,0.78,0.51,0.59,0.47
encog-cs.csv,0.03,0.79,0.3,0.91,0.36,0.4,0.85,0.94,0.98,0.34,0.05,0.67,0.07,0.57,0.42,0.67,0.56
extprosys.csv,0.02,0.66,0.92,0.89,0.38,0.45,0.7,0.86,0.52,0.3,0.05,0.66,0.08,0.75,0.39,0.59,0.46
ibatisdb.csv,0.0,0.3,0.18,0.28,0.2,0.25,0.48,0.45,0.21,0.07,0.08,0.33,0.17,0.29,0.97,0.43,0.48
intact.csv,0.04,0.68,0.3,0.62,0.39,0.97,0.36,0.5,0.37,0.15,0.07,0.22,0.14,0.53,0.38,0.37,0.37
japano.csv,0.02,0.94,0.48,0.82,0.37,0.43,0.75,1.0,0.52,0.31,0.06,0.97,0.11,0.79,0.39,0.7,0.48
lockss.csv,0.22,0.35,0.18,0.06,0.15,0.26,0.39,0.34,0.15,0.95,0.01,0.11,0.0,0.09,0.5,0.38,0.1
ofbiz.csv,0.04,0.59,0.38,0.64,0.27,0.33,0.66,0.51,0.42,0.26,0.1,0.72,0.19,0.99,0.55,0.2,0.49
officefloor.csv,0.0,0.57,0.32,0.83,0.34,0.41,0.74,0.88,0.13,0.15,0.8,0.74,0.05,0.01,0.39,0.61,0.58
opennms.csv,0.0,0.79,0.39,0.2,0.93,0.24,0.62,0.28,0.35,0.24,0.1,0.72,0.0,0.37,0.14,0.17,0.1
papertoolkit.csv,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.05,0.0,0.13,0.0,0.0,1.0,0.01,0.0,0.0,0.0
rohxel.csv,0.03,0.64,0.46,0.75,0.31,0.43,0.99,0.79,0.48,0.47,0.1,0.69,0.11,0.48,0.46,0.7,0.32
sevenupdate.csv,0.0,1.0,0.45,0.94,0.37,0.46,0.61,0.94,0.42,0.28,0.06,0.97,0.13,0.77,0.42,0.58,0.54
web-cat.csv,0.0,0.48,0.12,0.56,0.33,0.37,0.47,0.58,0.27,0.19,0.04,0.51,0.0,0.41,0.19,0.36,1.0
xcf.csv,0.03,0.55,0.45,0.63,0.41,0.35,0.74,0.67,0.45,0.33,0.08,0.68,0.16,0.66,0.29,1.0,0.56
