,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.93,0.36,0.3,0.8,0.45,0.85,0.52,0.9,0.68,0.96,1.0
ikvm.csv,0.39,0.91,0.48,0.27,0.46,0.35,0.66,0.33,0.93,0.32,0.28
libtorrent.csv,0.89,0.45,0.96,0.73,0.97,0.95,0.77,0.98,0.71,0.9,0.99
mcmc-jags.csv,0.48,0.59,0.89,0.8,0.8,0.8,0.7,0.88,0.64,0.86,1.0
moast.csv,0.25,0.36,1.0,1.0,1.0,1.0,0.26,1.0,1.0,0.59,0.97
olap-navigator.csv,0.85,0.36,0.78,0.53,0.58,0.8,0.35,0.9,0.5,0.86,1.0
pidgin.csv,0.26,0.32,0.59,0.0,0.74,0.6,0.29,0.54,0.86,0.31,0.6
salasaga.csv,0.41,0.77,0.41,0.73,0.66,0.65,0.47,0.38,0.75,0.82,0.22
sepgsql.csv,0.54,0.36,0.85,0.27,0.63,0.5,0.33,0.65,0.5,0.77,0.99
sigil.csv,0.79,0.68,0.26,0.13,0.35,0.4,0.52,0.87,0.25,0.88,0.99
xtreemfs.csv,0.77,0.55,0.93,0.67,0.93,0.95,0.51,0.96,0.68,0.88,0.97
