,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.6,0.68,0.43,0.6,0.78,0.77,0.66,0.39,0.67,0.7,0.69,0.54,0.68
echongl.csv,0.55,0.54,0.87,0.78,0.25,0.62,0.63,0.73,0.7,0.71,0.89,0.81,0.76
les-indemodables.csv,0.54,0.61,0.66,0.68,0.68,0.74,0.67,0.48,0.68,0.46,0.61,0.6,0.62
mbse.csv,0.58,0.7,0.71,0.49,1.0,1.12,0.64,0.82,0.53,0.58,0.61,0.51,0.72
ns-3-dev-def-routing.csv,0.56,0.58,0.82,0.99,0.42,0.34,0.51,0.76,0.75,0.71,0.77,0.66,1.0
psycle.csv,0.52,0.46,0.71,0.82,0.95,0.76,0.74,0.57,0.67,0.85,0.97,0.62,0.6
qpe.csv,0.42,0.76,0.67,0.57,0.78,1.01,0.65,0.64,0.73,0.92,0.74,0.6,0.67
simplewebservices.csv,0.95,0.85,0.85,1.0,1.0,0.83,0.88,0.86,0.88,1.0,0.46,0.53,1.0
v8.csv,0.68,0.91,0.73,0.89,1.0,1.12,0.82,0.21,0.63,0.94,0.86,0.93,1.0
wikipediardware.csv,0.5,0.56,0.83,0.95,0.93,0.95,0.79,0.59,0.51,0.83,0.94,0.54,0.3
wxstudio.csv,0.66,0.86,0.8,0.88,0.88,0.57,0.76,0.83,0.43,0.83,0.97,0.63,0.69
xamj.csv,0.57,0.55,0.8,0.95,0.6,0.52,0.78,0.76,0.66,0.72,0.69,0.38,0.62
