,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,196.0,99.0,294.0,285.5,385.0,97.5,297.0,97.5,194.5,1079.0,585.5,776.0,98.5,278.5,98.5,99.0,876.5,1424.0
alsa.csv,99.0,99.0,96.5,370.0,191.0,97.5,297.0,97.5,487.0,785.0,193.5,88.5,97.5,286.5,98.5,283.5,2099.5,1120.5
boost.csv,295.0,98.5,96.5,93.5,90.5,97.5,198.0,168.0,194.5,482.5,94.5,92.5,99.0,286.5,98.5,91.5,1484.5,465.0
fmri-dmt.csv,293.0,99.0,294.0,93.5,191.0,93.5,198.0,265.5,95.5,881.5,389.0,960.0,98.5,197.0,98.5,99.0,2283.0,4761.5
genecys.csv,99.0,99.0,193.5,93.5,385.0,97.5,493.0,97.5,480.5,389.0,585.5,669.5,197.5,286.5,98.5,99.0,2253.5,7547.0
gusanos.csv,97.5,89.5,294.0,66.5,122.0,97.5,294.5,97.5,95.5,586.5,193.5,192.0,99.0,295.5,98.5,79.5,398.5,3321.5
hatari.csv,99.0,99.0,92.5,374.0,286.5,95.5,297.0,97.5,386.0,1079.0,191.0,1061.5,98.5,295.5,98.5,99.0,2004.0,7440.5
n2cms.csv,95.5,89.5,294.0,529.0,385.0,97.5,394.0,97.5,487.0,188.0,290.0,295.0,99.0,295.5,98.5,99.0,2214.0,1801.0
nug.csv,99.0,99.0,294.0,191.0,385.0,344.0,297.0,91.5,487.0,672.5,585.5,1061.5,197.5,197.0,94.5,99.0,1440.5,8012.0
nuttx.csv,190.0,99.0,195.5,723.5,286.5,97.5,297.0,97.5,289.5,293.5,486.0,286.5,99.0,180.0,98.5,280.5,1137.0,1693.5
proftp.csv,37.5,79.5,83.5,704.5,286.5,95.5,94.5,97.5,487.0,487.0,191.0,287.5,0.0,385.0,94.5,277.5,1035.0,1627.0
pydev.csv,99.0,87.5,96.5,529.0,385.0,97.5,91.5,97.5,487.0,583.5,94.5,142.0,198.0,190.0,98.5,280.5,1623.5,465.0
tcl.csv,99.0,99.0,193.0,191.0,93.5,97.5,94.5,97.5,382.0,294.5,585.5,770.0,98.5,483.5,94.5,378.0,2557.0,0.0
truevision.csv,93.5,63.5,96.5,282.5,31.5,95.5,99.0,97.5,194.5,588.5,94.5,92.5,99.0,288.5,98.5,515.5,1208.5,1029.0
uclmda.csv,136.5,86.5,0.0,52.5,98.5,93.5,95.5,84.5,389.0,94.5,278.5,161.5,99.0,155.0,159.0,90.5,0.0,3406.5
uwom.csv,99.0,98.5,294.0,90.5,0.0,95.5,99.0,97.5,499.0,490.0,93.5,92.5,99.0,197.0,98.5,99.0,1158.0,1040.0
wxjs.csv,385.0,0.0,0.0,0.0,93.5,0.0,97.5,95.5,922.0,292.0,88.5,211.0,0.0,98.5,344.0,88.5,791.5,68.0
wxstudio.csv,87.5,98.5,96.5,356.0,385.0,279.5,295.0,97.5,388.0,783.5,388.0,1061.5,98.5,352.0,176.0,282.5,1869.5,9469.0
