,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.26,0.94,0.37,0.43,0.79,0.76
bullet.csv,0.88,0.79,0.48,0.38,0.78,0.76
openintents.csv,0.96,0.24,0.93,0.52,0.63,0.68
pokenetonline.csv,1.0,0.82,1.0,1.0,0.95,0.12
tktoolkit.csv,1.0,1.0,0.72,0.76,0.14,0.92
zealos.csv,0.26,0.48,0.43,0.24,0.57,0.68
