,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.61,0.3,0.57,0.67,0.96,0.23,1.0,0.83,0.49,0.73,0.67,0.95,0.26,0.38
calcubetimer.csv,0.46,0.51,0.92,0.68,0.94,0.21,0.0,0.09,0.54,0.06,0.33,0.26,0.61,0.67
chaosrts.csv,0.39,0.35,0.69,0.4,0.5,0.42,0.5,0.45,0.41,0.44,0.04,0.16,0.3,0.52
chaperon.csv,0.34,0.02,0.31,0.25,0.36,0.08,0.75,0.01,0.46,0.33,0.11,0.26,0.39,0.38
dxengine.csv,0.2,0.24,0.25,0.35,0.0,0.52,0.5,0.36,0.32,0.12,0.56,0.16,0.48,0.21
emono.csv,0.54,0.83,0.57,0.8,0.7,0.65,1.0,0.92,0.65,0.78,0.81,0.95,0.74,0.43
factor.csv,0.02,0.24,0.16,0.11,0.06,0.04,0.5,0.03,0.24,0.01,0.0,0.0,0.17,0.02
jas.csv,0.56,0.43,0.57,0.5,0.24,0.77,1.0,0.27,0.41,0.15,0.48,0.0,0.74,0.71
jmoney.csv,0.12,0.52,0.65,0.95,0.52,0.23,0.0,0.04,0.54,0.38,0.04,0.32,0.3,0.81
jmonkeyengine.csv,0.61,0.84,0.76,0.65,0.3,0.79,0.75,0.71,0.81,0.88,0.81,0.58,0.61,0.98
matrex.csv,0.22,0.19,0.02,0.2,0.14,0.02,0.0,0.15,0.08,0.08,0.0,0.68,0.26,0.07
primefaces.csv,0.78,0.81,0.96,0.58,0.94,0.5,0.75,0.51,0.81,0.71,0.22,0.89,0.91,1.0
roolo.csv,0.71,0.49,0.45,0.81,0.8,0.75,0.5,0.83,0.19,0.95,0.81,0.95,0.57,0.74
sblim.csv,0.2,0.02,0.0,0.15,0.12,0.06,0.0,0.01,0.22,0.03,0.0,0.16,0.09,0.67
