,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.39,0.29,0.33,0.14,0.43,0.24,0.91,0.49,0.27,0.16,0.68,0.91,0.04,0.44
calcubetimer.csv,0.63,0.25,0.44,0.44,0.43,0.13,0.94,0.43,0.3,0.0,0.34,0.4,0.57,0.6
chaosrts.csv,0.4,0.23,0.37,0.19,0.41,0.08,0.62,0.41,0.48,0.1,0.26,0.85,0.08,0.39
chaperon.csv,0.42,0.21,0.52,0.28,0.4,0.67,0.51,0.03,0.52,0.19,0.17,0.25,0.36,0.6
dxengine.csv,0.53,0.12,0.69,0.5,0.11,0.19,0.07,0.62,0.22,0.0,0.57,0.16,0.8,0.44
emono.csv,0.42,0.3,0.38,0.2,0.32,0.16,0.92,0.62,0.48,0.13,0.65,0.87,0.73,0.7
factor.csv,0.0,0.23,0.25,0.06,0.09,0.0,0.77,0.0,0.24,0.0,0.05,0.0,0.92,0.05
jas.csv,0.13,0.24,0.58,0.4,0.38,0.14,0.33,0.21,0.41,0.47,0.34,0.34,0.8,0.46
jmoney.csv,0.81,0.25,0.55,0.35,0.43,0.24,0.78,0.35,0.46,0.11,0.29,0.8,0.22,0.67
jmonkeyengine.csv,0.12,0.25,0.55,0.4,0.47,0.13,0.41,0.29,0.41,0.07,0.73,0.72,0.84,0.71
matrex.csv,0.65,0.3,0.44,0.56,0.08,0.33,0.42,0.83,0.23,0.3,0.1,0.65,0.43,0.23
primefaces.csv,0.54,0.3,0.52,0.42,0.41,0.19,0.76,0.75,0.46,0.1,0.84,0.89,0.75,0.79
roolo.csv,0.47,0.38,0.51,0.24,0.37,0.14,0.8,0.63,0.68,0.13,0.68,0.92,0.2,0.71
sblim.csv,0.4,0.0,0.26,0.65,0.29,0.25,0.19,0.05,0.13,0.0,0.05,0.25,0.09,0.61
