,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.61,0.58,0.68,0.61,0.46,0.59,0.46,0.72,0.13,0.0,0.35
ivatamasks.csv,0.49,0.67,0.6,0.74,0.09,0.39,0.54,0.69,0.33,0.56,0.59
java-gnome.csv,0.85,0.09,0.22,0.64,0.43,0.09,0.34,0.36,0.76,0.13,0.3
orc.csv,0.06,0.55,0.86,0.6,0.12,0.58,0.3,0.61,0.14,0.04,0.58
plato.csv,0.54,0.0,0.3,0.64,0.52,0.84,0.56,0.64,0.17,0.17,0.17
rodin-b-sharp.csv,0.58,0.0,0.6,0.36,0.16,0.63,0.84,0.32,0.79,0.0,0.5
tycho.csv,0.18,0.49,0.35,0.53,0.35,0.38,0.38,0.44,0.15,0.72,0.37
umber.csv,0.89,0.0,0.09,0.46,0.5,0.0,0.46,0.36,0.24,0.17,0.6
unicase.csv,0.81,0.69,0.31,0.55,0.42,0.69,0.72,0.64,0.7,0.4,0.69
vienna-add-in.csv,0.75,0.0,0.47,0.57,0.71,0.54,0.44,0.48,0.21,0.55,0.47
wpdev.csv,0.0,0.99,0.05,0.0,0.09,0.0,0.0,0.26,0.0,0.17,0.05
