,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.64,0.0,0.36,0.51,0.32,0.5,0.34,0.26,0.12,0.0,0.9
ivatamasks.csv,0.84,0.0,0.61,0.23,0.98,0.38,0.72,0.47,0.44,0.75,0.7
java-gnome.csv,0.09,0.0,0.16,0.17,0.51,0.0,0.19,0.29,0.19,0.11,0.24
orc.csv,0.35,0.0,0.23,0.38,0.2,0.38,0.29,0.4,0.44,0.0,0.33
plato.csv,0.8,1.0,0.91,0.53,0.8,0.25,0.78,0.55,0.06,0.96,0.96
rodin-b-sharp.csv,0.05,1.0,0.11,0.47,0.1,0.5,0.18,0.47,0.44,0.0,0.2
tycho.csv,0.51,0.5,0.2,0.6,0.27,0.12,0.58,0.19,0.12,0.21,0.88
umber.csv,0.13,1.0,0.98,0.85,0.68,1.0,0.85,0.89,0.94,0.36,0.31
unicase.csv,0.29,0.5,0.91,0.66,0.59,0.62,0.5,0.38,0.62,0.82,0.35
vienna-add-in.csv,0.47,1.0,0.61,0.72,0.22,0.38,0.45,0.57,0.06,0.5,0.68
wpdev.csv,1.0,0.0,0.99,1.0,0.98,1.0,1.0,0.93,1.0,0.96,0.99
