,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.27,0.2,0.21,0.31,0.24,0.24,0.21,0.21,0.12,0.4,0.36
ivatamasks.csv,0.32,0.24,0.22,0.21,0.31,0.16,0.26,0.21,0.18,0.29,0.3
java-gnome.csv,0.15,0.35,0.15,0.2,0.19,0.38,0.17,0.18,0.27,0.1,0.17
orc.csv,0.2,0.2,0.17,0.26,0.19,0.2,0.17,0.24,0.16,0.4,0.23
plato.csv,0.31,0.39,0.28,0.34,0.4,0.38,0.36,0.35,0.27,0.4,0.39
rodin-b-sharp.csv,0.14,0.34,0.19,0.32,0.37,0.32,0.26,0.3,0.29,0.4,0.23
tycho.csv,0.3,0.23,0.22,0.38,0.22,0.26,0.34,0.19,0.34,0.29,0.39
umber.csv,0.18,0.36,0.29,0.39,0.32,0.42,0.36,0.39,0.37,0.19,0.22
unicase.csv,0.2,0.38,0.28,0.31,0.29,0.38,0.32,0.29,0.32,0.37,0.28
vienna-add-in.csv,0.31,0.3,0.28,0.39,0.36,0.32,0.33,0.31,0.32,0.33,0.34
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.42,0.38,0.38,0.37,0.4,0.39
