,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.55,0.32,0.44,0.36,0.45,0.62,0.26,0.28,0.32,0.08,0.33
bdbbasic.csv,0.65,0.23,0.44,0.44,0.23,0.7,0.74,0.09,0.45,0.56,0.33
bibletime.csv,0.74,0.86,0.75,0.59,0.55,0.92,1.0,0.96,0.5,0.71,0.67
crux-framework.csv,0.45,0.5,0.25,0.33,0.32,0.54,0.63,0.57,0.44,0.64,1.0
etherboot.csv,0.1,0.64,0.0,0.03,0.55,0.11,0.58,1.0,0.04,0.97,1.0
gnukeda.csv,0.97,0.32,0.31,0.72,0.59,0.54,0.0,0.26,0.89,0.88,0.67
google-gears.csv,0.9,0.86,0.62,0.44,0.73,1.0,1.0,0.94,0.7,0.8,1.0
jnode.csv,0.03,0.36,0.81,0.36,0.0,0.0,0.16,0.0,0.12,0.08,0.33
openmeetings.csv,0.55,0.91,0.62,0.13,0.64,0.49,0.32,0.6,0.17,0.45,0.67
pgui.csv,0.58,0.82,0.0,0.62,0.64,0.76,0.84,0.6,0.61,0.89,1.0
wxcrp.csv,0.55,0.5,1.0,0.62,0.91,0.84,0.84,0.91,0.61,0.74,0.33
