,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.42,0.21,0.05,0.45,0.33,0.59,0.32,0.38,0.45,0.14,0.03
bdbbasic.csv,0.49,0.14,0.06,0.51,0.22,0.5,0.7,0.16,0.6,0.69,0.03
bibletime.csv,0.53,0.4,0.11,0.61,0.34,0.48,0.46,0.44,0.62,0.79,0.05
crux-framework.csv,0.32,0.29,0.19,0.38,0.37,0.32,0.35,0.36,0.57,0.73,0.32
etherboot.csv,0.17,0.57,0.0,0.05,0.41,0.19,0.58,0.44,0.08,0.9,0.07
gnukeda.csv,0.49,0.29,0.04,0.75,0.34,0.54,0.0,0.3,0.82,0.85,0.04
google-gears.csv,0.51,0.31,0.1,0.52,0.39,0.49,0.48,0.43,0.78,0.84,0.11
jnode.csv,0.06,0.21,0.24,0.44,0.0,0.0,0.21,0.0,0.2,0.14,0.07
openmeetings.csv,0.58,0.6,0.16,0.22,0.42,0.53,0.43,0.5,0.28,0.62,0.14
pgui.csv,0.38,0.31,0.0,0.62,0.4,0.46,0.48,0.51,0.71,0.89,0.05
wxcrp.csv,0.52,0.15,0.08,0.58,0.4,0.5,0.47,0.42,0.69,0.81,0.02
