,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
54,2,1,1,1,2,2,2,1,mclient-mume.csv
50,3,2,4,5,2,3,4,6,chrysalis.csv
48,4,2,4,16,1,1,11,16,beast-mcmc.csv
56,5,5,4,7,3,5,5,9,springside.csv
22,6,5,4,10,6,3,13,17,octet.csv
17,7,2,6,8,3,3,13,15,chaosrts.csv
27,8,5,2,9,2,1,9,10,ngl.csv
25,10,0,1,1,0,1,1,0,atunes.csv
16,11,1,1,1,1,1,1,2,columba.csv
55,13,2,1,1,2,1,3,2,amanda.csv
57,14,3,4,6,6,7,17,15,bibedt.csv
49,15,1,1,6,4,7,9,13,openmeetings.csv
19,16,3,3,5,3,3,7,7,psycle.csv
24,17,0,1,1,0,1,2,1,voms.csv
14,18,1,1,2,1,1,3,2,lmms.csv
26,19,5,7,7,4,4,7,7,jmule.csv
13,20,0,1,1,3,12,14,13,acegisecurity.csv
28,21,2,1,2,3,5,8,7,phonon-vlc-mplayer.csv
58,22,4,3,6,4,6,9,10,xtreemfs.csv
15,27,2,1,6,1,1,5,6,bochs.csv
23,28,1,4,7,2,6,12,14,pydev.csv
18,29,4,3,9,5,0,5,15,kdenlive.csv
38,30,10,11,17,11,5,7,17,itext.csv
33,31,1,2,2,2,3,3,4,smartgwt.csv
12,33,2,5,5,4,5,7,9,heekscad.csv
11,34,1,2,4,2,2,5,6,flylegacy.csv
6,35,2,3,3,2,1,0,3,jajuk.csv
32,36,6,6,12,7,2,7,15,libarchive.csv
39,37,6,10,10,9,13,10,17,jahshakafx.csv
31,38,2,3,2,3,4,6,6,pidgin.csv
40,39,2,5,6,5,7,3,15,owlib.csv
52,40,1,2,5,2,3,8,6,kowari.csv
46,41,3,6,8,4,9,9,14,applet2app.csv
20,42,2,2,2,2,5,5,5,adaptagrams.csv
30,43,3,4,7,5,3,11,12,nativeclient.csv
29,44,6,8,10,9,11,18,19,ogrehg.csv
21,45,1,1,1,2,4,4,3,tolven.csv
45,46,1,1,2,2,2,5,4,webdriver.csv
53,47,8,6,9,7,9,19,19,img-browse-sort.csv
47,48,2,2,2,3,5,8,8,exordium.csv
51,49,2,4,3,5,6,7,6,riff-evolve.csv
3,50,5,4,6,5,4,12,11,sandiaportals.csv
41,52,2,0,3,3,5,8,10,openwbem.csv
37,53,3,1,11,3,2,8,15,glas.csv
36,54,1,1,2,2,2,3,2,graphmak.csv
42,55,3,5,12,3,4,4,17,carabiner.csv
7,56,2,1,3,1,2,8,8,optalgtoolkit.csv
5,57,6,6,12,4,3,15,17,plplot.csv
8,58,7,5,16,6,1,11,14,encog-cs.csv
1,59,2,1,2,2,1,1,1,glelite.csv
10,60,3,3,11,3,2,11,13,flylinkdc.csv
0,61,2,2,4,4,2,4,9,irplus.csv
35,62,2,2,3,2,1,4,5,codeblocks.csv
43,63,5,6,7,8,7,12,17,elvishrayrenderer.csv
44,64,2,3,7,1,4,11,11,psrchive.csv
34,65,3,3,4,3,6,7,9,tzod.csv
2,66,1,1,1,2,5,8,8,rockbox.csv
9,67,0,1,1,0,1,1,0,jrdf.csv
4,68,4,4,9,4,2,8,9,unicase.csv
