,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.5,0.78,0.15,0.81,0.54,0.79,0.57,0.36,0.09,0.5,0.56
azureus.csv,1.0,1.0,1.0,1.0,0.98,0.79,0.19,0.52,0.93,0.6,0.89
forester-atv.csv,0.0,0.35,0.33,0.01,0.03,0.21,0.42,0.04,0.3,0.6,0.03
gabel.csv,0.0,0.48,0.09,0.64,0.27,0.38,0.19,0.6,0.04,0.1,0.11
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.72,1.0,1.0,0.97
javaprofiler.csv,0.0,0.9,0.27,0.74,0.62,0.9,0.57,0.76,0.15,0.5,0.17
mycila.csv,0.0,0.2,0.64,0.5,0.25,0.21,0.35,0.48,0.22,0.3,0.53
neodatis-odb.csv,1.0,0.8,0.48,0.26,0.63,0.12,0.27,0.16,0.07,0.6,0.25
pokenetonline.csv,0.5,0.75,0.94,0.84,0.83,0.5,0.88,0.28,0.78,1.0,0.75
rcp-company-uibindings.csv,0.0,0.68,0.3,0.73,0.35,0.38,0.4,0.08,0.3,0.0,0.22
servicestack.csv,0.0,0.25,0.15,0.07,0.02,0.12,0.08,0.04,0.2,0.1,0.0
