,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.68,0.5,0.76,0.43,0.19,0.21,0.38,0.53,0.55,0.74,0.72
azureus.csv,0.96,0.57,0.61,0.51,0.15,0.35,0.63,0.8,0.4,0.98,0.79
forester-atv.csv,0.56,0.6,0.37,0.15,0.17,0.35,0.37,0.39,0.49,0.44,0.08
gabel.csv,0.02,0.59,0.61,0.36,0.35,0.27,0.46,0.82,0.27,0.43,0.34
google-collections.csv,0.9,0.55,0.64,0.51,0.15,0.32,0.42,0.85,0.42,0.98,0.81
javaprofiler.csv,0.58,0.56,0.59,0.48,0.19,0.29,0.43,0.8,0.5,0.87,0.83
mycila.csv,0.79,0.34,0.55,0.33,0.18,0.59,0.4,0.67,0.07,0.4,0.35
neodatis-odb.csv,0.85,0.45,0.52,0.64,0.09,0.42,0.51,0.32,0.1,0.91,0.69
pokenetonline.csv,0.87,0.6,0.59,0.52,0.13,0.28,0.44,0.8,0.46,0.93,0.56
rcp-company-uibindings.csv,0.78,0.55,0.53,0.39,0.22,0.32,0.44,0.43,0.32,0.92,0.42
servicestack.csv,0.05,0.67,0.38,0.25,0.0,0.12,0.11,0.23,0.67,0.22,0.05
