,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.62,0.57,0.47,0.48,0.76,0.38,0.65,0.75,0.71,0.57,0.72,0.72
emite.csv,0.84,0.0,0.83,0.82,0.99,0.74,0.89,0.97,0.99,0.76,0.52,0.95
geogebra.csv,0.54,0.52,0.73,0.66,0.45,0.32,0.53,0.47,0.48,0.62,0.75,0.47
hibernate.csv,0.62,0.57,0.46,0.47,0.48,0.35,0.6,0.44,0.58,0.58,0.75,0.55
httpcontentparser.csv,0.67,0.5,0.66,0.56,0.55,0.0,0.63,0.33,0.56,0.56,0.52,0.48
megameknet.csv,0.61,0.48,0.56,0.48,0.5,0.34,0.52,0.48,0.57,0.61,0.87,0.46
myfaces.csv,0.66,0.44,0.41,0.59,0.68,0.33,0.6,0.4,0.47,0.54,0.88,0.54
ns-3.csv,0.43,0.55,0.49,0.53,0.41,0.43,0.48,0.42,0.39,0.45,0.6,0.5
ondex.csv,0.97,0.5,0.59,0.62,0.8,0.65,0.95,0.67,0.99,0.0,0.67,0.88
pixel-commandos.csv,0.97,0.8,0.96,0.99,0.99,0.8,0.97,0.95,0.75,0.89,0.8,0.98
rsyslog.csv,0.58,0.52,0.51,0.63,0.49,0.35,0.57,0.55,0.59,0.53,0.66,0.5
wow-qrsk.csv,0.96,0.5,0.93,0.49,0.6,0.0,0.7,0.32,0.61,0.88,0.68,0.61
