,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.17,0.25,0.95,0.9,0.15,0.18,0.7,0.35,0.4,0.29,0.5,0.38
emite.csv,0.21,0.04,0.31,0.29,0.09,0.55,0.03,0.12,0.24,0.35,0.3,0.05
geogebra.csv,0.44,1.0,0.21,0.12,0.46,0.84,0.13,0.44,0.27,0.27,0.02,0.24
hibernate.csv,0.24,0.29,0.61,0.87,0.35,0.61,0.28,0.54,0.31,0.23,0.28,0.28
httpcontentparser.csv,0.24,0.0,0.24,0.46,0.39,0.0,0.5,0.91,0.54,0.34,0.62,0.63
megameknet.csv,0.53,0.38,0.48,0.68,0.61,0.63,0.26,0.42,0.3,0.27,0.25,0.58
myfaces.csv,0.2,0.33,0.33,0.17,0.1,0.47,0.1,0.57,0.34,0.26,0.28,0.22
ns-3.csv,0.41,0.83,0.49,0.2,0.71,0.61,0.16,0.44,0.39,0.82,0.2,0.19
ondex.csv,0.08,0.04,0.27,0.41,0.11,0.08,0.04,0.29,0.14,0.0,0.4,0.12
pixel-commandos.csv,0.12,0.08,0.11,0.24,0.11,0.0,0.12,0.21,0.35,0.05,0.12,0.1
rsyslog.csv,0.44,0.25,0.38,0.63,0.38,0.32,0.23,0.38,0.5,0.3,0.42,0.56
wow-qrsk.csv,0.07,0.0,0.07,0.36,0.25,0.0,0.1,0.82,0.2,0.09,0.2,0.17
