,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.42,0.69,0.18,0.21,0.53,0.88,0.33,0.16,0.46,0.24,0.38,0.32
emite.csv,0.34,0.0,0.15,0.2,0.22,0.34,0.05,0.37,0.21,0.05,0.61,0.07
geogebra.csv,0.59,0.68,0.31,0.51,0.34,0.8,0.53,0.25,0.42,0.24,0.17,0.53
hibernate.csv,0.5,0.65,0.22,0.24,0.48,0.76,0.47,0.27,0.47,0.21,0.35,0.44
httpcontentparser.csv,0.43,0.14,0.39,0.35,0.41,0.0,0.34,0.27,0.42,0.16,0.51,0.4
megameknet.csv,0.53,0.73,0.26,0.24,0.32,0.79,0.51,0.24,0.42,0.19,0.22,0.39
myfaces.csv,0.42,0.67,0.29,0.49,0.54,0.78,0.6,0.27,0.48,0.25,0.25,0.49
ns-3.csv,0.72,0.56,0.24,0.42,0.32,0.6,0.53,0.19,0.48,0.07,0.3,0.51
ondex.csv,0.26,0.07,0.31,0.26,0.58,0.56,0.26,0.38,0.28,0.4,0.38,0.42
pixel-commandos.csv,0.25,0.44,0.35,0.08,0.22,0.1,0.15,0.16,0.3,0.62,0.0,0.15
rsyslog.csv,0.52,0.75,0.32,0.19,0.44,0.84,0.45,0.26,0.45,0.18,0.4,0.43
wow-qrsk.csv,0.23,0.14,0.23,0.38,0.59,0.0,0.49,0.31,0.41,0.0,0.53,0.49
