,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.0,0.13,0.04,0.41,0.16,0.25,0.42,0.38,0.8,0.16,0.47,0.67,0.0,0.62,0.02,0.55,0.05,0.44,0.29
apolloplayer.csv,0.69,0.0,0.16,0.85,0.16,0.42,0.8,0.53,0.6,0.04,0.56,0.77,0.27,0.63,0.15,0.59,0.41,0.78,0.86
auber.csv,0.31,0.34,0.36,0.35,0.49,0.58,0.36,0.42,0.6,0.0,0.66,0.25,0.2,0.18,0.3,0.41,0.32,0.61,0.36
cortex-vfx.csv,0.19,0.27,0.36,0.37,0.17,0.14,0.22,0.21,0.2,0.22,0.08,0.62,0.13,0.14,0.16,0.14,0.0,0.11,0.14
growl-for-windows.csv,0.37,0.51,0.58,0.53,0.36,0.44,0.43,0.72,0.2,0.2,0.31,0.56,0.27,0.63,0.41,0.59,0.35,0.0,0.21
ifmo-game-1.csv,0.0,0.09,0.11,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.03,0.0,0.1,0.0,0.06,0.07
ildjit.csv,0.01,0.0,0.02,0.0,0.02,0.05,0.01,0.04,0.0,0.02,0.04,0.17,0.0,0.02,0.07,0.07,0.11,0.0,0.14
jfreereport.csv,0.19,0.15,0.13,0.24,0.0,0.29,0.25,0.23,0.2,0.38,0.22,0.5,0.13,0.28,0.07,0.59,0.28,0.11,0.43
keyczar.csv,0.64,0.63,0.84,0.25,0.27,0.61,0.64,0.43,0.2,0.58,0.35,0.17,0.07,0.68,0.15,0.07,0.72,0.5,0.57
moast.csv,0.81,0.97,0.96,1.0,0.93,0.95,0.67,0.98,1.0,0.93,0.81,0.69,0.93,0.95,0.87,0.0,1.0,0.89,0.43
opde.csv,0.32,0.23,0.0,0.45,0.35,0.51,0.18,0.51,0.0,0.44,0.42,0.92,0.13,0.32,0.3,0.48,0.23,0.28,0.36
openfrag.csv,0.7,0.61,0.53,1.0,0.61,0.52,1.0,0.02,0.2,0.49,0.32,0.52,0.2,0.5,0.36,0.55,0.68,0.56,1.0
passwordsafe.csv,0.27,0.33,0.4,0.9,0.33,0.55,0.91,0.15,0.8,0.38,0.75,0.88,0.07,0.0,0.25,0.76,0.28,0.44,0.64
ppcboot.csv,0.44,0.62,0.4,0.58,0.55,0.6,0.01,0.57,0.6,0.47,0.45,0.25,0.4,0.46,0.34,0.34,0.49,0.11,0.5
quark.csv,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.05,0.34,0.03,0.06,0.0
super-tux.csv,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.98,0.0,0.98,0.45,0.52,1.0,0.93,0.43,0.1,1.0,0.67,1.0
synergyspace.csv,0.47,0.35,0.22,0.36,0.06,0.22,0.73,0.21,0.4,0.2,0.0,0.85,0.07,0.16,0.15,0.17,0.14,0.28,0.5
wikipediardware.csv,0.96,0.9,0.91,0.65,0.97,0.87,0.86,0.94,0.6,0.71,0.82,0.92,0.93,0.7,0.9,0.93,0.98,0.94,0.07
xtreemfs.csv,0.74,0.44,0.58,0.61,0.5,0.55,0.55,0.55,0.2,0.44,0.41,0.23,0.33,0.49,0.0,0.21,0.59,0.5,0.14
