,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.15,0.85,0.8,0.63,0.56,0.12,0.54,0.15,0.5,0.48,1.0,0.92,0.85,0.76,1.0,0.15,0.93,0.44
avisynth2.csv,0.24,0.23,0.2,0.0,0.03,0.12,0.03,0.1,0.0,0.12,1.0,0.04,0.09,0.47,0.01,0.0,0.0,0.06
coot.csv,0.89,0.42,0.18,0.43,0.67,0.94,0.76,0.65,0.88,0.63,0.0,0.65,0.45,0.06,0.59,0.75,0.69,0.77
dsworkbench.csv,0.69,0.88,0.74,0.47,0.61,0.65,0.43,0.7,0.25,0.42,0.67,0.85,0.69,0.41,0.66,0.4,0.55,0.56
forester-atv.csv,0.86,0.73,0.78,0.25,0.28,0.59,0.16,0.75,0.5,0.97,1.0,0.31,0.47,0.47,0.08,0.25,0.07,0.44
freelords.csv,0.78,1.0,0.98,0.97,0.63,0.71,0.7,0.8,0.88,0.82,1.0,0.77,0.91,0.76,0.99,0.98,0.9,0.38
gabel.csv,0.04,0.5,0.2,0.38,0.16,0.59,0.49,0.25,0.75,0.75,0.33,0.19,0.44,0.06,0.25,0.18,0.24,0.19
geotools.csv,0.72,0.85,0.88,0.8,0.54,0.53,0.7,0.65,0.75,0.98,1.0,0.81,0.67,1.0,0.9,0.8,0.97,0.62
gephex.csv,0.1,0.31,0.78,0.87,0.63,0.71,0.78,0.4,0.5,0.83,0.0,1.0,0.74,0.82,0.69,0.95,0.9,0.51
google-collections.csv,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.38,0.69,0.46,0.0,0.09,0.94,0.38,0.1,0.88,0.18,1.0,0.46,0.48,0.47,0.0,0.0,0.0,0.07
neodatis-odb.csv,0.9,0.88,0.5,0.43,0.54,0.65,0.68,0.75,0.88,0.35,1.0,0.38,0.44,0.24,0.68,0.62,0.97,0.92
pokenetonline.csv,0.44,1.0,1.0,0.97,0.86,0.88,0.97,0.7,0.88,0.8,0.67,0.96,0.99,1.0,0.9,0.85,0.86,0.93
rcp-company-uibindings.csv,0.64,0.65,0.78,0.3,0.68,0.65,0.32,0.45,0.5,0.2,0.67,0.65,0.6,0.41,0.48,0.68,0.48,0.86
scenemonitor.csv,0.61,0.58,0.88,0.28,0.34,0.53,0.49,0.75,0.5,0.1,0.67,0.69,0.42,0.88,0.41,0.55,0.31,0.53
servicestack.csv,0.12,0.62,0.36,0.0,0.09,0.06,0.16,0.1,0.0,0.25,0.33,0.19,0.14,0.71,0.01,0.18,0.0,0.15
synecdoche.csv,0.6,0.46,0.42,0.37,0.89,0.24,0.38,0.6,0.25,0.25,0.0,0.69,0.52,0.41,0.56,0.22,0.69,0.5
twostep.csv,0.15,0.96,0.82,0.35,0.48,0.65,0.65,0.8,1.0,0.85,1.0,0.88,0.71,0.76,0.66,0.65,0.62,0.5
