,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.29,0.26,0.33,0.31,0.22,0.19,0.28,0.21,0.17,0.21,0.4,0.28,0.25,0.25,0.35,0.31,0.36,0.22
avisynth2.csv,0.18,0.17,0.2,0.44,0.38,0.33,0.38,0.25,0.43,0.27,0.31,0.39,0.37,0.13,0.33,0.45,0.38,0.34
coot.csv,0.34,0.32,0.14,0.24,0.36,0.43,0.39,0.25,0.45,0.27,0.18,0.41,0.37,0.37,0.26,0.23,0.28,0.38
dsworkbench.csv,0.29,0.21,0.27,0.3,0.25,0.24,0.25,0.27,0.16,0.25,0.31,0.35,0.22,0.14,0.3,0.25,0.33,0.25
forester-atv.csv,0.38,0.21,0.32,0.24,0.18,0.19,0.37,0.23,0.15,0.31,0.18,0.14,0.19,0.13,0.3,0.26,0.32,0.23
freelords.csv,0.26,0.32,0.36,0.44,0.27,0.21,0.35,0.23,0.25,0.28,0.38,0.23,0.3,0.22,0.35,0.44,0.36,0.18
gabel.csv,0.35,0.23,0.15,0.18,0.11,0.17,0.24,0.13,0.15,0.25,0.2,0.3,0.19,0.38,0.18,0.32,0.15,0.15
geotools.csv,0.23,0.21,0.3,0.33,0.2,0.19,0.28,0.19,0.23,0.32,0.32,0.17,0.18,0.4,0.32,0.36,0.32,0.24
gephex.csv,0.33,0.24,0.36,0.44,0.3,0.31,0.31,0.25,0.33,0.33,0.31,0.42,0.28,0.3,0.31,0.43,0.36,0.24
google-collections.csv,0.28,0.35,0.36,0.44,0.38,0.45,0.4,0.31,0.46,0.31,0.4,0.42,0.41,0.41,0.35,0.45,0.38,0.39
jpaul.csv,0.21,0.3,0.2,0.44,0.38,0.24,0.25,0.19,0.19,0.16,0.22,0.15,0.32,0.16,0.35,0.45,0.38,0.34
neodatis-odb.csv,0.38,0.29,0.27,0.27,0.28,0.38,0.3,0.23,0.4,0.18,0.4,0.37,0.27,0.35,0.28,0.26,0.36,0.39
pokenetonline.csv,0.18,0.35,0.36,0.42,0.31,0.43,0.37,0.21,0.4,0.25,0.4,0.38,0.39,0.33,0.32,0.34,0.33,0.37
rcp-company-uibindings.csv,0.22,0.21,0.26,0.16,0.28,0.17,0.2,0.19,0.14,0.14,0.14,0.15,0.19,0.16,0.2,0.21,0.18,0.35
scenemonitor.csv,0.21,0.2,0.32,0.17,0.18,0.21,0.25,0.19,0.24,0.24,0.15,0.18,0.18,0.32,0.21,0.18,0.18,0.21
servicestack.csv,0.37,0.2,0.3,0.44,0.31,0.4,0.25,0.25,0.44,0.22,0.25,0.34,0.35,0.19,0.35,0.13,0.36,0.26
synecdoche.csv,0.27,0.21,0.24,0.24,0.3,0.24,0.24,0.27,0.28,0.19,0.15,0.41,0.23,0.3,0.25,0.17,0.22,0.27
twostep.csv,0.15,0.26,0.32,0.16,0.2,0.21,0.27,0.23,0.23,0.27,0.34,0.18,0.25,0.25,0.26,0.18,0.18,0.2
