,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.25,0.29,0.32,0.11,0.27,0.06,0.92,0.39,0.12,0.08,0.62,0.87,0.25,0.66
calcubetimer.csv,0.56,0.18,0.33,0.28,0.28,0.09,1.0,0.75,0.25,0.0,0.5,0.89,0.63,0.65
chaosrts.csv,0.29,0.27,0.29,0.12,0.3,0.05,0.93,0.4,0.38,0.05,0.75,0.97,0.14,0.56
chaperon.csv,0.31,0.67,0.46,0.25,0.3,0.44,0.86,0.5,0.38,0.13,0.71,0.81,0.53,0.69
dxengine.csv,0.45,0.16,0.59,0.27,0.0,0.08,0.82,0.55,0.36,0.03,0.6,0.85,0.69,0.68
emono.csv,0.31,0.17,0.4,0.12,0.2,0.1,0.92,0.51,0.38,0.06,0.59,0.87,0.63,0.76
factor.csv,0.0,0.19,0.25,0.14,0.6,0.0,0.96,0.0,0.24,0.0,0.77,1.0,0.93,0.88
jas.csv,0.15,0.15,0.44,0.32,0.53,0.08,0.75,0.4,0.42,0.29,0.52,1.0,0.69,0.52
jmoney.csv,0.73,0.21,0.45,0.24,0.35,0.14,1.0,0.88,0.31,0.11,0.62,0.92,0.58,0.61
jmonkeyengine.csv,0.14,0.17,0.38,0.25,0.52,0.07,0.9,0.32,0.29,0.04,0.6,0.88,0.73,0.62
matrex.csv,0.64,0.38,1.0,0.45,0.14,1.0,1.0,0.82,0.57,0.25,0.0,0.85,0.58,1.0
primefaces.csv,0.37,0.19,0.36,0.31,0.27,0.11,0.94,0.63,0.34,0.07,0.86,0.92,0.64,0.66
roolo.csv,0.33,0.31,0.42,0.09,0.24,0.09,0.97,0.48,0.67,0.07,0.59,0.89,0.14,0.67
sblim.csv,0.46,0.24,0.39,0.49,0.36,0.1,1.0,0.7,0.3,0.0,0.77,0.88,0.71,0.63
