,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.28,0.28,0.22,0.21,0.24,0.25,0.14,0.28,0.35,0.27,0.27,0.24,0.16
archive-crawler.csv,0.18,0.22,0.23,0.17,0.14,0.22,0.22,0.17,0.39,0.22,0.25,0.36,0.18
biodwh.csv,0.14,0.3,0.24,0.37,0.2,0.42,0.13,0.3,0.2,0.19,0.2,0.25,0.18
blue-c.csv,0.32,0.37,0.27,0.25,0.42,0.24,0.2,0.32,0.41,0.28,0.27,0.35,0.24
dynalloy.csv,0.36,0.31,0.3,0.24,0.49,0.18,0.34,0.38,0.4,0.26,0.29,0.39,0.28
jcae.csv,0.12,0.29,0.17,0.14,0.08,0.15,0.12,0.13,0.17,0.22,0.2,0.22,0.16
kmatplot.csv,0.19,0.18,0.24,0.43,0.56,0.42,0.22,0.2,0.14,0.22,0.24,0.38,0.18
mscore.csv,0.29,0.35,0.3,0.24,0.3,0.18,0.22,0.26,0.27,0.28,0.29,0.31,0.33
nosleepsoftware.csv,0.34,0.37,0.3,0.21,0.53,0.31,0.24,0.28,0.39,0.18,0.25,0.38,0.25
openmalaria.csv,0.25,0.27,0.28,0.29,0.16,0.2,0.26,0.19,0.3,0.26,0.27,0.22,0.29
popeye-chess.csv,0.18,0.17,0.26,0.16,0.2,0.16,0.17,0.17,0.24,0.27,0.24,0.19,0.17
riff-evolve.csv,0.21,0.16,0.2,0.16,0.18,0.13,0.14,0.15,0.24,0.19,0.22,0.21,0.19
virtuoso.csv,0.33,0.39,0.3,0.41,0.18,0.42,0.33,0.4,0.42,0.35,0.27,0.15,0.24
