,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.62,0.42,0.67,0.0,0.46,0.8,0.34,0.6,0.65,0.7,0.81,0.33,0.33
archive-crawler.csv,0.38,0.29,0.67,0.25,0.37,0.7,0.66,0.43,0.66,0.57,0.71,0.14,0.33
biodwh.csv,0.45,0.31,0.44,0.0,0.14,0.03,0.24,0.1,0.42,0.3,0.33,0.76,0.83
blue-c.csv,0.83,0.83,0.89,0.0,0.94,0.8,0.57,0.79,0.85,0.65,0.9,0.93,0.42
dynalloy.csv,0.72,0.79,0.67,0.0,0.74,0.43,0.48,0.57,0.69,0.61,0.9,0.52,0.58
jcae.csv,0.24,0.06,0.89,0.0,0.2,0.53,0.22,0.21,0.3,0.65,0.38,0.36,0.42
kmatplot.csv,0.86,0.37,0.78,1.0,0.0,1.0,0.46,0.43,0.33,0.61,0.62,0.95,0.5
mscore.csv,0.93,0.98,1.0,0.5,0.89,0.7,0.67,0.81,0.81,0.91,1.0,0.95,1.0
nosleepsoftware.csv,0.07,0.0,0.0,0.69,0.0,0.03,0.36,0.07,0.04,0.17,0.1,0.02,0.17
openmalaria.csv,0.79,0.71,1.0,0.69,0.66,0.77,0.82,0.74,0.9,0.78,0.9,0.71,1.0
popeye-chess.csv,0.62,0.35,0.44,0.12,0.66,0.6,0.54,0.45,0.55,0.7,0.62,0.69,0.25
riff-evolve.csv,0.69,0.42,0.89,0.0,0.63,0.37,0.38,0.33,0.66,0.39,0.52,0.83,0.83
virtuoso.csv,0.79,0.98,1.0,1.0,0.69,1.0,0.82,1.0,0.92,0.96,0.86,0.52,0.67
