,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.33,0.23,0.63,0.22,0.37,0.97,0.5,0.49,0.62,0.33,0.0,0.1,0.36,0.19,0.19
calcubetimer.csv,0.21,0.0,0.0,0.17,0.0,0.0,0.0,1.0,0.45,0.0,0.09,0.17,0.0,0.13,0.0
chaosrts.csv,0.55,0.38,0.0,0.72,0.48,0.05,0.0,0.65,0.44,0.0,0.77,0.64,0.97,0.55,0.0
emono.csv,0.53,0.43,0.22,0.48,0.46,0.48,0.64,0.66,0.49,0.35,0.0,0.28,0.2,0.42,0.99
freelords.csv,0.52,0.75,0.13,0.98,0.47,0.1,0.37,0.52,0.41,0.77,0.75,0.67,0.67,0.56,0.5
jmonkeyengine.csv,0.07,0.09,0.27,0.12,1.0,0.17,0.12,0.29,0.16,0.11,0.0,0.14,0.28,0.13,0.12
jython.csv,0.56,0.2,1.0,0.42,0.59,0.17,0.55,0.43,0.29,0.0,0.46,0.46,0.46,0.35,0.44
mclient-mume.csv,0.32,0.94,0.31,0.47,0.07,0.1,0.5,0.13,0.29,0.65,0.0,0.44,0.41,0.29,0.52
papertoolkit.csv,0.0,0.04,0.11,0.0,0.0,0.0,0.05,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.02
primefaces.csv,0.47,0.0,0.05,0.55,0.55,0.39,0.0,0.5,0.5,0.0,0.9,1.0,0.61,0.55,0.0
st-filteredstatistics.csv,0.65,0.61,0.17,0.41,0.6,0.6,0.47,0.46,1.0,0.42,0.35,0.34,0.52,0.59,0.5
toped.csv,0.53,0.59,0.2,0.32,0.5,0.32,1.0,0.34,0.3,0.75,0.38,0.18,0.38,0.65,0.48
triplea.csv,0.98,0.59,0.38,0.46,0.57,0.63,0.6,0.57,0.69,0.0,0.63,0.53,0.58,0.72,0.57
web-cat.csv,0.26,0.2,0.22,0.26,0.44,0.0,0.35,0.23,0.18,0.16,0.0,0.55,0.12,1.0,0.13
