,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.57,0.88,0.97,0.8,0.61,0.65,0.52,0.42,0.46,0.95,0.82,0.8,0.43,0.88,0.95
calcubetimer.csv,0.31,0.39,0.26,0.38,0.35,0.5,0.31,0.43,0.3,0.39,0.34,0.33,0.38,0.33,0.43
chaosrts.csv,0.29,0.42,0.26,0.36,0.34,0.5,0.32,0.39,0.27,0.39,0.33,0.3,0.4,0.25,0.43
emono.csv,0.55,0.62,0.26,0.58,0.42,0.56,0.38,0.62,0.52,0.88,0.83,0.65,0.46,0.54,0.53
freelords.csv,0.28,0.4,0.26,0.41,0.46,0.91,0.33,0.52,0.33,0.36,0.38,0.38,0.5,0.31,0.46
jmonkeyengine.csv,0.8,0.83,0.24,0.92,0.78,0.9,0.8,0.8,0.8,0.94,0.67,0.89,0.97,0.75,0.88
jython.csv,0.5,0.89,0.95,0.71,0.55,0.97,0.4,0.86,0.5,0.63,0.42,0.66,0.6,0.72,0.77
mclient-mume.csv,0.67,0.5,0.94,0.62,0.86,0.67,0.41,0.86,0.67,0.36,0.61,0.52,0.58,0.53,0.52
papertoolkit.csv,0.0,0.0,0.5,0.0,0.0,0.0,0.67,0.0,0.0,0.93,0.67,0.0,0.0,0.0,0.5
primefaces.csv,0.46,0.39,0.27,0.5,0.37,0.7,0.33,0.5,0.41,0.37,0.58,0.42,0.52,0.28,0.43
st-filteredstatistics.csv,0.33,0.46,0.24,0.47,0.34,0.46,0.4,0.41,0.33,0.58,0.38,0.81,0.37,0.27,0.58
toped.csv,0.48,0.48,0.25,0.64,0.39,0.55,0.33,0.5,0.69,0.42,0.86,0.89,0.53,0.37,0.51
triplea.csv,0.42,0.5,0.28,0.53,0.42,0.33,0.37,0.44,0.31,0.46,0.42,0.68,0.38,0.36,0.5
web-cat.csv,0.91,0.88,0.75,0.85,0.94,0.0,0.53,0.92,0.88,0.96,0.84,0.59,0.93,0.58,0.93
