,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.48,0.38,0.41,0.75,0.26,0.97,0.86,1.0,0.88,1.0,0.0,0.6,0.88,0.38,0.62
calcubetimer.csv,0.62,0.53,0.13,0.75,0.26,0.32,0.85,1.0,0.76,0.99,0.05,0.59,0.88,0.39,0.65
chaosrts.csv,0.62,0.55,0.12,0.81,0.27,0.32,0.85,0.95,0.76,0.99,0.08,0.65,0.99,0.4,0.65
emono.csv,0.73,0.45,0.07,0.81,0.26,0.31,0.88,1.0,0.78,1.0,0.0,0.5,0.85,0.31,1.0
freelords.csv,0.63,0.69,0.09,0.98,0.22,0.27,0.85,0.94,0.72,1.0,0.08,0.7,0.92,0.39,0.65
jmonkeyengine.csv,0.4,0.33,0.08,0.67,1.0,0.5,1.0,0.93,1.0,1.0,0.0,0.56,0.92,0.5,1.0
jython.csv,0.63,0.56,1.0,0.67,0.29,0.15,0.86,1.0,0.58,0.99,0.04,0.56,0.86,0.33,0.65
mclient-mume.csv,0.6,1.0,0.33,0.85,0.14,0.11,0.86,0.86,0.67,1.0,0.0,0.59,0.93,0.29,0.65
papertoolkit.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.67,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
primefaces.csv,0.58,0.52,0.12,0.81,0.26,0.22,0.84,0.92,0.72,0.99,0.12,1.0,0.92,0.4,0.66
st-filteredstatistics.csv,0.67,0.56,0.11,0.76,0.34,0.35,0.82,0.93,1.0,1.0,0.03,0.75,0.87,0.41,0.67
toped.csv,0.7,0.58,0.12,0.88,0.27,0.3,1.0,1.0,0.77,1.0,0.14,0.67,0.92,0.48,0.65
triplea.csv,1.0,0.56,0.12,0.74,0.28,0.4,0.89,0.94,0.81,0.99,0.06,0.71,0.89,0.48,0.75
web-cat.csv,0.64,0.62,1.0,0.55,0.44,0.0,0.84,0.92,0.75,1.0,0.0,0.72,0.93,1.0,0.64
