,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.92,0.89,0.86,0.5,0.93,0.89,0.93,0.8,0.58,0.5,0.51
fceugc.csv,0.55,0.45,0.51,0.54,0.61,0.54,0.47,0.38,0.66,0.62,0.46
flexpay.csv,0.46,0.79,0.64,0.9,0.0,0.56,0.58,0.4,0.55,0.92,0.88
jstock.csv,0.72,0.45,0.61,0.91,0.86,0.93,0.7,0.57,0.93,0.67,0.6
keyczar.csv,0.96,0.78,0.98,0.9,0.61,0.96,0.95,0.64,0.94,0.45,0.8
modellus.csv,0.52,0.61,0.47,0.85,0.83,0.42,0.39,0.88,0.61,0.77,0.8
open-data-kit.csv,0.47,0.38,0.45,0.42,0.72,0.4,0.51,0.57,0.59,0.89,0.46
phet.csv,0.86,0.62,0.99,0.66,0.45,0.71,0.54,0.4,0.75,0.44,0.69
qtractor.csv,0.43,0.5,0.49,0.61,0.61,0.39,0.44,0.53,0.49,0.0,0.64
sumatrapdf.csv,0.38,0.38,0.39,0.36,0.62,0.43,0.39,0.41,0.5,0.43,0.41
synergyspace.csv,0.55,0.76,0.5,0.91,0.56,0.54,0.52,0.45,0.71,0.78,0.86
